state,total,place,race,religion,sexual_orientation,ethnicity,disability,gender,gender_identity
,,Tompkins County ,1,0,0,0,0,0,0
,,Washington County ,0,1,0,0,0,0,0
,Other Agencies,,6,12,0,0,0,0,0
,,New York City Metropolitan Transportation Authority,5,5,0,0,0,0,0
,,State Park:,,,,,,,
,,Long Island Region,0,7,0,0,0,0,0
,,New York City Region,1,0,0,0,0,0,0
North Carolina,Total,,85,19,23,11,2,0,0
,Cities,,67,11,17,9,2,0,0
,,Asheville,2,0,2,0,0,0,0
,,Burlington,0,0,1,0,0,0,0
,,Chapel Hill,2,0,0,0,0,0,0
,,Charlotte-Mecklenburg,11,5,5,3,1,0,0
,,Fayetteville,7,0,1,0,0,0,0
,,Greensboro,5,0,1,0,0,0,0
,,Greenville,3,1,0,0,0,0,0
,,High Point,1,0,0,1,0,0,0
,,Hillsborough,2,0,0,0,0,0,0
,,Hope Mills,2,1,0,1,0,0,0
,,Jacksonville,1,0,0,0,0,0,0
,,Lenoir,1,0,0,0,0,0,0
,,Mount Airy,1,0,0,0,0,0,0
,,Oxford,3,0,0,0,0,0,0
,,Raleigh,14,2,4,4,1,0,0
,,Roanoke Rapids,3,0,0,0,0,0,0
,,Salisbury,1,0,0,0,0,0,0
,,Stallings,0,0,1,0,0,0,0
,,Waynesville,1,0,0,0,0,0,0
,,Williamston,1,0,0,0,0,0,0
,,Wilmington,2,2,2,0,0,0,0
,,Wilson,4,0,0,0,0,0,0
,Universities and Colleges,,2,6,1,0,0,0,0
,,East Carolina University,0,4,0,0,0,0,0
,,Fayetteville State University,1,0,0,0,0,0,0
,,North Carolina School of the Arts,1,0,0,0,0,0,0
,,University of North Carolina:,,,,,,,
,,Asheville,0,1,0,0,0,0,0
,,Wilmington,0,0,1,0,0,0,0
,,Western Carolina University,0,1,0,0,0,0,0
,Metropolitan Counties,,13,2,4,1,0,0,0
,,Buncombe,2,0,1,0,0,0,0
,,Cumberland,1,0,0,0,0,0,0
,,Currituck,2,0,0,0,0,0,0
,,Forsyth,3,2,0,0,0,0,0
,,Gaston County Police Department,2,0,0,0,0,0,0
,,Guilford,1,0,2,1,0,0,0
,,Iredell,1,0,0,0,0,0,0
,,New Hanover,0,0,1,0,0,0,0
,,Rockingham,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,3,0,1,1,0,0,0
,,Pasquotank,3,0,0,0,0,0,0
,,Surry,0,0,0,1,0,0,0
,,Wilkes,0,0,1,0,0,0,0
North Dakota,Total,,25,3,4,8,0,0,0
,Cities,,19,3,4,5,0,0,0
,,Bismarck,5,1,0,2,0,0,0
,,Devils Lake,1,0,0,0,0,0,0
,,Fargo,5,1,2,1,0,0,0
,,Grand Forks,1,0,0,1,0,0,0
,,Mandan,1,0,0,0,0,0,0
,,Minot,1,1,0,0,0,0,0
,,Rolla,0,0,1,0,0,0,0
,,Tioga,0,0,0,1,0,0,0
,,West Fargo,5,0,1,0,0,0,0
,Metropolitan Counties,,4,0,0,0,0,0,0
,,Cass,2,0,0,0,0,0,0
,,Morton,2,0,0,0,0,0,0
,Nonmetropolitan Counties,,2,0,0,3,0,0,0
,,Bottineau,0,0,0,1,0,0,0
,,Dunn,1,0,0,0,0,0,0
,,McLean,0,0,0,1,0,0,0
,,Rolette,0,0,0,1,0,0,0
,,Ward,1,0,0,0,0,0,0
Ohio,Total,,244,26,69,56,8,0,0
,Cities,,220,23,61,54,7,0,0
,,Akron,2,1,1,0,0,0,0
,,Athens,0,0,1,0,0,0,0
,,Austintown,1,0,0,0,0,0,0
,,Barberton,2,0,0,0,0,0,0
,,"Bath Township, Summit County",1,0,0,0,0,0,0
,,Bellbrook,1,0,0,0,0,0,0
,,Bellefontaine,1,0,0,0,0,0,0
,,Brunswick Hills Township,0,0,1,0,0,0,0
,,Butler Township,0,0,0,0,1,0,0
,,Canton,1,0,0,0,0,0,0
,,Carroll Township,0,0,0,0,1,0,0
,,Celina,2,0,1,0,0,0,0
,,Cincinnati,35,3,5,11,0,0,0
,,Circleville,0,0,1,0,0,0,0
,,Cleveland,3,0,2,0,0,0,0
,,Columbus2,89,8,17,34,1,0,0
,,Dayton,6,1,2,1,0,0,0
,,East Palestine,1,0,0,0,0,0,0
,,Forest Park,1,0,0,0,0,0,0
,,Garfield Heights,3,1,2,0,3,0,0
,,Grove City,4,1,0,0,0,0,0
,,Groveport,0,0,0,1,0,0,0
,,"Hamilton Township, Warren County",1,0,0,0,0,0,0
,,Heath,0,0,1,0,0,0,0
,,Hubbard,1,0,0,0,0,0,0
,,Huber Heights,1,1,0,0,0,0,0
,,Hudson,0,0,1,0,0,0,0
,,Independence,1,0,0,0,0,0,0
,,"Jackson Township, Stark County",0,0,0,0,1,0,0
,,Lakewood,3,0,0,0,0,0,0
,,Lancaster,4,0,0,0,0,0,0
,,Leipsic,0,1,0,0,0,0,0
,,Lima,0,0,1,0,0,0,0
,,Lockland,3,0,0,0,0,0,0
,,Lorain,2,0,4,2,0,0,0
,,Louisville,1,0,0,0,0,0,0
,,Mansfield,1,0,0,1,0,0,0
,,Marysville,1,0,0,0,0,0,0
,,Mason,1,0,0,0,0,0,0
,,Maumee,0,1,0,0,0,0,0
,,Medina,0,1,0,1,0,0,0
,,Miamisburg,0,1,0,1,0,0,0
,,Milton Township,1,0,0,0,0,0,0
,,Minster,0,0,1,0,0,0,0
,,Monroe,0,0,1,0,0,0,0
,,Montgomery,1,0,0,0,0,0,0
,,Montpelier,1,0,0,0,0,0,0
,,Moraine,2,0,0,0,0,0,0
,,Mount Healthy,1,0,0,0,0,0,0
,,Napoleon,0,0,2,0,0,0,0
,,New Albany,0,1,0,0,0,0,0
,,Newton Falls,0,0,1,0,0,0,0
,,Niles,1,0,0,0,0,0,0
,,Northwood,0,1,0,0,0,0,0
,,Norwood,3,0,0,0,0,0,0
,,Oregon,0,0,0,1,0,0,0
,,Parma,3,0,0,0,0,0,0
,,Pomeroy,1,0,0,0,0,0,0
,,Powell,1,0,0,0,0,0,0
,,Powhatan Point,1,0,0,0,0,0,0
,,Springfield,1,0,0,0,0,0,0
,,"Springfield Township, Hamilton County",1,0,0,0,0,0,0
,,St. Clair Township,1,0,0,0,0,0,0
,,Streetsboro,1,0,0,0,0,0,0
,,Tipp City,1,0,0,0,0,0,0
,,Toledo,12,0,8,0,0,0,0
,,Trotwood,1,0,0,0,0,0,0
,,Urbana,0,0,2,0,0,0,0
,,Van Wert,0,0,1,0,0,0,0
,,Walbridge,1,0,0,0,0,0,0
,,Warren,1,0,0,0,0,0,0
,,Warren Township,1,0,0,0,0,0,0
,,Washington Court House,0,0,1,0,0,0,0
,,Wauseon,1,0,0,0,0,0,0
,,Weathersfield,1,0,0,0,0,0,0
,,West Chester Township,0,1,0,0,0,0,0
,,Westerville,2,0,0,0,0,0,0
,,Wilmington,2,0,2,0,0,0,0
,,Worthington,1,0,1,0,0,0,0
,,Xenia,2,0,1,1,0,0,0
,,Zanesville,1,0,0,0,0,0,0
,Universities and Colleges,,2,1,1,0,0,0,0
,,Capital University,0,1,1,0,0,0,0
,,"Ohio State University, Columbus",2,0,0,0,0,0,0
,Metropolitan Counties,,17,0,2,0,1,0,0
,,Butler,1,0,0,0,0,0,0
,,Clark,1,0,0,0,0,0,0
,,Fairfield,0,0,0,0,1,0,0
,,Greene,7,0,0,0,0,0,0
,,Madison,1,0,0,0,0,0,0
,,Montgomery,2,0,0,0,0,0,0
,,Perry,1,0,0,0,0,0,0
,,Portage,1,0,0,0,0,0,0
,,Richland,0,0,2,0,0,0,0
,,Summit,2,0,0,0,0,0,0
,,Warren,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,5,2,5,2,0,0,0
,,Ashland,0,1,0,0,0,0,0
,,Auglaize,0,0,1,0,0,0,0
,,Coshocton,0,0,1,0,0,0,0
,,Fayette,0,0,0,1,0,0,0
,,Knox,1,0,0,0,0,0,0
,,Morgan,1,0,0,0,0,0,0
,,Muskingum,1,0,0,0,0,0,0
,,Paulding,1,0,1,0,0,0,0
,,Preble,0,1,0,0,0,0,0
,,Ross,1,0,1,1,0,0,0
,,Shelby,0,0,1,0,0,0,0
Oklahoma,Total,,13,4,10,5,1,0,0
,Cities,,9,3,7,4,1,0,0
,,Bethany,1,0,0,0,0,0,0
,,Catoosa,0,0,0,1,0,0,0
,,Edmond,1,1,0,0,0,0,0
,,Fort Gibson,0,0,0,1,0,0,0
,,Hobart,1,0,0,0,0,0,0
,,Mooreland,1,0,0,0,0,0,0
,,Muskogee,2,0,0,0,1,0,0
,,Norman,1,0,0,0,0,0,0
,,Oklahoma City,2,2,4,1,0,0,0
,,Sapulpa,0,0,1,1,0,0,0
,,The Village,0,0,1,0,0,0,0
,,Woodward,0,0,1,0,0,0,0
,Universities and Colleges,,1,0,1,0,0,0,0
,,University of Central Oklahoma,1,0,1,0,0,0,0
,Nonmetropolitan Counties,,3,1,2,1,0,0,0
,,Delaware,0,1,0,0,0,0,0
,,Marshall,0,0,1,0,0,0,0
,,Payne,2,0,1,0,0,0,0
,,Tillman,1,0,0,0,0,0,0
,,Woodward,0,0,0,1,0,0,0
Oregon,Total,,9,3,6,8,0,0,0
,Cities,,6,1,5,7,0,0,0
,,Grants Pass,1,0,0,0,0,0,0
,,Independence,0,0,0,1,0,0,0
,,Madras,1,0,0,0,0,0,0
,,Medford,0,0,1,0,0,0,0
,,Pendleton,1,0,0,0,0,0,0
,,Redmond,0,0,1,0,0,0,0
,,Reedsport,0,0,1,0,0,0,0
,,Salem,1,0,1,2,0,0,0
,,Springfield,2,0,1,3,0,0,0
,,Sutherlin,0,1,0,1,0,0,0
,Metropolitan Counties,,1,0,0,1,0,0,0
,,Deschutes,1,0,0,0,0,0,0
,,Yamhill,0,0,0,1,0,0,0
,Nonmetropolitan Counties,,2,2,1,0,0,0,0
,,Douglas,1,0,1,0,0,0,0
,,Hood River,0,2,0,0,0,0,0
,,Wasco,1,0,0,0,0,0,0
Pennsylvania,Total,,34,8,1,7,0,0,0
,Cities,,27,6,0,7,0,0,0
,,"Abington Township, Montgomery County",0,1,0,1,0,0,0
,,Allentown,1,0,0,0,0,0,0
,,Economy,5,0,0,0,0,0,0
,,Ferguson Township,0,1,0,0,0,0,0
,,Hazleton,0,0,0,1,0,0,0
,,Horsham Township2,0,1,0,0,0,0,0
,,Lehighton,1,0,0,0,0,0,0
,,Mercersburg,1,0,0,0,0,0,0
,,Philadelphia,8,1,0,2,0,0,0
,,Pittsburgh,6,2,0,1,0,0,0
,,Portage,1,0,0,0,0,0,0
,,Reading,2,0,0,0,0,0,0
,,Scranton,1,0,0,0,0,0,0
,,Southwest Mercer County Regional,1,0,0,0,0,0,0
,,State College,0,0,0,1,0,0,0
,,"Washington Township, Franklin County",0,0,0,1,0,0,0
,Universities and Colleges,,4,1,1,0,0,0,0
,,Lock Haven University,1,0,0,0,0,0,0
,,Pennsylvania State University:,,,,,,,
,,Altoona,1,0,0,0,0,0,0
,,University Park,2,1,1,0,0,0,0
,State Police Agencies,,3,1,0,0,0,0,0
,,State Police:,,,,,,,
,,Huntingdon County,1,0,0,0,0,0,0
,,Skippack ,1,1,0,0,0,0,0
,,Perry County,1,0,0,0,0,0,0
Rhode Island,Total,,1,1,1,1,0,0,0
,Cities,,1,1,1,1,0,0,0
,,Charlestown,0,0,1,0,0,0,0
,,Pawtucket,1,0,0,0,0,0,0
,,Providence,0,0,0,1,0,0,0
,,West Warwick,0,1,0,0,0,0,0
South Carolina,Total,,23,7,10,4,5,0,0
,Cities,,15,2,4,2,1,0,0
,,Abbeville,0,0,1,0,0,0,0
,,Bluffton,0,0,0,1,0,0,0
,,Cayce,1,0,0,0,0,0,0
,,Charleston,2,0,0,0,0,0,0
,,Chester,1,0,0,0,0,0,0
,,Columbia,1,0,1,0,0,0,0
,,Darlington,0,0,0,0,1,0,0
,,Landrum,2,0,0,0,0,0,0
,,Lexington,0,0,0,1,0,0,0
,,Mauldin,1,0,0,0,0,0,0
,,Moncks Corner,1,0,0,0,0,0,0
,,Myrtle Beach,1,0,0,0,0,0,0
,,Pacolet,0,0,1,0,0,0,0
,,Simpsonville,1,0,0,0,0,0,0
,,St. George,2,0,0,0,0,0,0
,,Ware Shoals,1,0,1,0,0,0,0
,,Winnsboro,1,2,0,0,0,0,0
,Universities and Colleges,,0,0,1,0,0,0,0
,,"University of South Carolina, Upstate",0,0,1,0,0,0,0
,Metropolitan Counties,,6,1,2,2,0,0,0
,,Anderson,1,0,0,0,0,0,0
,,Greenville,1,0,0,0,0,0,0
,,Lancaster,1,0,1,0,0,0,0
,,Pickens,1,0,0,1,0,0,0
,,Richland,1,0,0,0,0,0,0
,,Spartanburg,0,1,0,0,0,0,0
,,Sumter,0,0,1,1,0,0,0
,,York,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,1,4,3,0,4,0,0
,,Abbeville,0,2,0,0,0,0,0
,,Cherokee,0,0,1,0,4,0,0
,,Greenwood,0,0,1,0,0,0,0
,,Orangeburg,0,2,0,0,0,0,0
,,Williamsburg,1,0,1,0,0,0,0
,State Police Agencies,,1,0,0,0,0,0,0
,,"Highway Patrol, Greenwood County",1,0,0,0,0,0,0
South Dakota,Total,,9,2,3,2,1,0,1
,Cities,,6,2,3,2,0,0,1
,,Aberdeen,0,0,0,0,0,0,1
,,Canton,1,0,0,0,0,0,0
,,Rapid City,0,0,2,1,0,0,0
,,Sioux Falls,0,1,1,0,0,0,0
,,Spearfish,3,0,0,0,0,0,0
,,Sturgis,1,0,0,0,0,0,0
,,Vermillion,0,1,0,0,0,0,0
,,Watertown,1,0,0,1,0,0,0
,Metropolitan Counties,,2,0,0,0,0,0,0
,,Minnehaha,1,0,0,0,0,0,0
,,Pennington,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,1,0,0
,,Charles Mix,1,0,0,0,0,0,0
,,Hamlin,0,0,0,0,1,0,0
Tennessee,Total,,82,14,20,73,5,0,0
,Cities,,58,9,15,62,4,0,0
,,Atoka,0,0,0,7,0,0,0
,,Baxter,1,0,0,0,0,0,0
,,Benton,1,0,0,0,0,0,0
,,Bristol,2,2,0,3,1,0,0
,,Camden,1,0,0,0,0,0,0
,,Chattanooga,9,1,1,0,0,0,0
,,Clarksville,7,1,4,1,0,0,0
,,Columbia,3,0,0,0,0,0,0
,,Covington,0,0,0,7,0,0,0
,,Crossville,1,0,0,0,0,0,0
,,Decaturville,0,1,0,0,0,0,0
,,Dyersburg,1,0,0,0,0,0,0
,,Elizabethton,2,0,1,0,0,0,0
,,Gallatin,0,1,0,0,0,0,0
,,Greeneville,2,1,0,26,0,0,0
,,Jackson,1,0,0,0,0,0,0
,,Jefferson City,3,0,0,0,0,0,0
,,Kingston,1,0,0,0,0,0,0
,,Knoxville,7,1,0,1,0,0,0
,,Lebanon,0,0,1,0,0,0,0
,,Mason,1,0,0,0,0,0,0
,,Memphis,4,0,3,3,3,0,0
,,Millington,1,0,1,1,0,0,0
,,Monteagle,0,0,1,0,0,0,0
,,Morristown,0,0,0,1,0,0,0
,,Munford,0,0,0,9,0,0,0
,,Nashville,7,0,3,1,0,0,0
,,Parsons,1,0,0,0,0,0,0
,,Ridgely,0,0,0,1,0,0,0
,,Savannah,1,0,0,0,0,0,0
,,Sharon,0,0,0,1,0,0,0
,,Spring Hill,0,1,0,0,0,0,0
,,Tullahoma,1,0,0,0,0,0,0
,Universities and Colleges,,1,3,1,0,0,0,0
,,Middle Tennessee State University,1,3,0,0,0,0,0
,,Vanderbilt University,0,0,1,0,0,0,0
,Metropolitan Counties,,19,2,3,8,1,0,0
,,Cheatham,1,0,0,0,0,0,0
,,Hamilton,1,0,1,0,0,0,0
,,Jefferson,0,0,0,1,0,0,0
,,Knox,3,0,0,0,0,0,0
,,Marion,0,0,0,3,0,0,0
,,Montgomery,0,1,0,0,0,0,0
,,Robertson,1,0,0,0,0,0,0
,,Rutherford,0,0,1,0,0,0,0
,,Shelby,12,0,1,4,0,0,0
,,Sullivan,0,0,0,0,1,0,0
,,Washington,1,1,0,0,0,0,0
,Nonmetropolitan Counties,,3,0,1,3,0,0,0
,,Claiborne,1,0,0,0,0,0,0
,,Lauderdale,1,0,0,0,0,0,0
,,Lewis,0,0,1,0,0,0,0
,,Monroe,0,0,0,1,0,0,0
,,Overton,1,0,0,0,0,0,0
,,Van Buren,0,0,0,2,0,0,0
,Other Agencies,,1,0,0,0,0,0,0
,,Nashville International Airport,1,0,0,0,0,0,0
Texas,Total,,68,19,40,15,0,1,2
,Cities,,59,16,38,15,0,1,1
,,Austin,0,1,2,1,0,0,0
,,Baytown,0,0,1,0,0,0,0
,,Beaumont,3,0,1,0,0,0,0
,,Brownwood,0,0,1,0,0,0,0
,,Cedar Park,0,1,0,0,0,0,0
,,Center,1,0,0,0,0,0,0
,,College Station,0,0,1,0,0,0,0
,,Conroe,1,0,0,0,0,0,0
,,Corpus Christi,5,1,0,0,0,0,0
,,Dallas,4,1,10,0,0,0,0
,,Denison,1,1,0,1,0,0,0
,,El Paso,1,0,0,0,0,0,0
,,Fort Worth,1,0,0,2,0,0,0
,,Freer,0,0,1,0,0,0,0
,,Galveston,1,0,1,0,0,0,0
,,Garland,0,0,1,0,0,0,0
,,Georgetown,1,0,0,0,0,0,0
,,Gilmer,2,0,0,0,0,0,0
,,Harlingen,1,0,0,0,0,0,0
,,Hempstead,2,0,0,0,0,0,0
,,Houston,4,5,6,1,0,0,0
,,Iowa Park,1,0,0,0,0,0,0
,,Keller,1,0,0,0,0,0,0
,,Kilgore,0,0,1,0,0,0,0
,,Killeen,1,0,0,0,0,0,0
,,Lampasas,1,0,0,1,0,0,0
,,Lancaster,1,0,0,0,0,0,0
,,League City,0,1,0,0,0,0,0
,,Longview,3,0,0,3,0,0,0
,,Lubbock,1,0,0,0,0,0,0
,,McKinney,3,3,1,1,0,0,0
,,Mercedes,0,0,0,1,0,0,0
,,New Braunfels,0,0,0,1,0,0,1
,,Odessa,1,0,0,1,0,1,0
,,Pearland,2,0,2,0,0,0,0
,,Richardson,1,1,0,0,0,0,0
,,Rockwall,0,0,0,1,0,0,0
,,San Antonio,7,1,5,1,0,0,0
,,Sherman,1,0,0,0,0,0,0
,,South Padre Island,1,0,0,0,0,0,0
,,Spur,2,0,0,0,0,0,0
,,Sugar Land,1,0,0,0,0,0,0
,,Tomball,1,0,2,0,0,0,0
,,Vernon,0,0,1,0,0,0,0
,,Victoria,1,0,0,0,0,0,0
,,Wichita Falls,1,0,1,0,0,0,0
,Universities and Colleges,,3,3,1,0,0,0,1
,,Paris Junior College,2,0,0,0,0,0,0
,,Sul Ross State University,0,0,0,0,0,0,1
,,Tarleton State University,0,0,1,0,0,0,0
,,"Texas A&M University, Corpus Christi",0,1,0,0,0,0,0
,,Texas Christian University,1,1,0,0,0,0,0
,,"Texas State University, San Marcos",0,1,0,0,0,0,0
,Metropolitan Counties,,5,0,1,0,0,0,0
,,Harris,1,0,0,0,0,0,0
,,Kaufman,2,0,0,0,0,0,0
,,Travis,1,0,0,0,0,0,0
,,Williamson,1,0,1,0,0,0,0
,Other Agencies,,1,0,0,0,0,0,0
,,"Independent School District, Pflugerville",1,0,0,0,0,0,0
Utah,Total,,26,17,3,4,0,0,0
,Cities,,15,9,2,3,0,0,0
,,Bountiful,1,1,0,0,0,0,0
,,Brigham City,2,0,2,0,0,0,0
,,Centerville,0,1,0,0,0,0,0
,,Clinton,1,0,0,0,0,0,0
,,Farmington,1,0,0,0,0,0,0
,,Murray,1,0,0,0,0,0,0
,,North Salt Lake,1,0,0,1,0,0,0
,,Ogden,0,1,0,0,0,0,0
,,Roosevelt,3,0,0,1,0,0,0
,,Salt Lake City,0,1,0,0,0,0,0
,,Tooele,0,1,0,0,0,0,0
,,Tremonton,2,0,0,0,0,0,0
,,West Bountiful,1,0,0,0,0,0,0
,,West Jordan,1,0,0,0,0,0,0
,,West Valley,1,4,0,1,0,0,0
,Universities and Colleges,,1,1,0,0,0,0,0
,,University of Utah,1,1,0,0,0,0,0
,Metropolitan Counties,,4,3,0,1,0,0,0
,,Davis,0,0,0,1,0,0,0
,,Salt Lake County Unified Police Department,1,3,0,0,0,0,0
,,Tooele,3,0,0,0,0,0,0
,Nonmetropolitan Counties,,1,1,0,0,0,0,0
,,Carbon,1,0,0,0,0,0,0
,,Duchesne,0,1,0,0,0,0,0
,State Police Agencies,,2,2,1,0,0,0,0
,,Utah Highway Patrol,2,2,1,0,0,0,0
,Other Agencies,,3,1,0,0,0,0,0
,,Utah Transit Authority,3,1,0,0,0,0,0
Vermont,Total,,7,3,1,0,4,0,0
,Cities,,5,3,1,0,4,0,0
,,Bellows Falls,1,0,0,0,0,0,0
,,Burlington,2,0,0,0,0,0,0
,,Essex,0,2,0,0,0,0,0
,,Manchester,1,0,0,0,0,0,0
,,Middlebury,0,0,1,0,1,0,0
,,Randolph,0,1,0,0,0,0,0
,,South Burlington,0,0,0,0,3,0,0
,,Winooski,1,0,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,0,0,0
,,University of Vermont,1,0,0,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0,0
,,Lamoille,1,0,0,0,0,0,0
Virginia,Total,,67,16,22,12,1,0,0
,Cities,,30,8,15,6,1,0,0
,,Alexandria,1,0,0,0,0,0,0
,,Bristol,1,0,0,0,0,0,0
,,Charlottesville,1,1,0,0,0,0,0
,,Chesapeake,5,1,0,0,0,0,0
,,Falls Church,1,0,0,0,0,0,0
,,Fredericksburg,2,0,0,0,0,0,0
,,Front Royal,1,0,0,0,0,0,0
,,Hampton,1,0,0,1,0,0,0
,,Harrisonburg,0,1,0,1,0,0,0
,,Leesburg,0,0,1,0,0,0,0
,,Lynchburg,1,0,0,0,0,0,0
,,Manassas,2,0,0,0,0,0,0
,,Newport News,0,0,4,0,0,0,0
,,Norfolk,2,0,7,3,0,0,0
,,Portsmouth,3,1,0,0,0,0,0
,,Purcellville,1,0,0,0,0,0,0
,,Rich Creek,0,1,0,0,0,0,0
,,Richmond,0,1,1,1,0,0,0
,,Staunton,0,0,1,0,0,0,0
,,Suffolk,1,0,0,0,0,0,0
,,Vienna,0,0,0,0,1,0,0
,,Virginia Beach,5,2,1,0,0,0,0
,,West Point,2,0,0,0,0,0,0
,Universities and Colleges,,2,0,3,0,0,0,0
,,George Mason University,2,0,1,0,0,0,0
,,Northern Virginia Community College,0,0,1,0,0,0,0
,,Radford University,0,0,1,0,0,0,0
,Metropolitan Counties,,31,8,4,6,0,0,0
,,Albemarle County Police Department,2,0,1,0,0,0,0
,,Amherst,1,0,0,0,0,0,0
,,Arlington County Police Department,3,0,0,0,0,0,0
,,Bedford,1,0,0,0,0,0,0
,,Chesterfield County Police Department,2,1,0,0,0,0,0
,,Clarke,1,0,0,0,0,0,0
,,Dinwiddie,1,0,0,0,0,0,0
,,Fairfax County Police Department,4,6,1,3,0,0,0
,,Fluvanna,1,0,0,0,0,0,0
,,Goochland,1,0,0,0,0,0,0
,,Greene,2,0,0,0,0,0,0
,,Henrico County Police Department,1,0,1,0,0,0,0
,,Loudoun,0,0,0,1,0,0,0
,,New Kent,1,0,0,0,0,0,0
,,Powhatan,0,0,0,1,0,0,0
,,Prince George County Police Department,1,0,0,0,0,0,0
,,Roanoke County Police Department,4,0,0,0,0,0,0
,,Spotsylvania,1,0,0,0,0,0,0
,,Stafford,3,1,1,0,0,0,0
,,Warren,1,0,0,0,0,0,0
,,York,0,0,0,1,0,0,0
,Nonmetropolitan Counties,,4,0,0,0,0,0,0
,,Accomack,1,0,0,0,0,0,0
,,Pittsylvania,2,0,0,0,0,0,0
,,Tazewell,1,0,0,0,0,0,0
Washington,Total,,176,50,43,27,3,8,1
,Cities,,152,40,34,21,2,5,0
,,Aberdeen,1,0,0,0,0,0,0
,,Auburn,1,0,1,0,0,0,0
,,Bainbridge Island,0,2,0,0,0,0,0
,,Bellingham,2,0,0,2,0,0,0
,,Bonney Lake,0,1,0,0,0,0,0
,,Bothell,1,3,0,0,0,0,0
,,Bremerton,2,1,0,0,0,0,0
,,Burien,3,0,0,0,0,0,0
,,Centralia,2,0,0,0,0,0,0
,,Colfax,0,0,0,1,0,0,0
,,East Wenatchee,1,0,0,0,0,0,0
,,Eatonville,1,0,0,0,0,0,0
,,Everett,3,0,0,0,0,0,0
,,Federal Way,0,4,0,0,0,0,0
,,Fife,3,0,0,2,0,0,0
,,Fircrest,1,0,0,0,0,0,0
,,Kent,10,1,5,0,0,0,0
,,Kirkland,0,1,1,1,0,0,0
,,Lacey,1,1,0,0,0,0,0
,,Lakewood,4,0,1,0,0,0,0
,,Longview,1,0,0,0,0,0,0
,,Monroe,0,0,0,0,0,2,0
,,Moses Lake,0,1,0,0,0,0,0
,,Mountlake Terrace,1,0,0,0,0,0,0
,,Mount Vernon,1,0,0,0,0,0,0
,,Normandy Park,3,0,0,0,0,0,0
,,Ocean Shores,0,0,1,0,0,0,0
,,Olympia,1,0,0,1,0,0,0
,,Port Angeles,0,0,0,0,1,0,0
,,Port Townsend,1,0,0,0,0,0,0
,,Pullman,2,0,0,0,0,0,0
,,Puyallup,3,0,0,0,0,0,0
,,Quincy,0,0,0,1,0,0,0
,,Renton,12,4,0,1,0,0,0
,,Ridgefield,1,0,0,0,0,0,0
,,Ritzville,0,0,0,1,0,0,0
,,Sammamish,0,1,0,0,0,0,0
,,Seattle,64,10,21,9,0,3,0
,,Sequim,1,1,0,0,0,0,0
,,Shelton,0,2,0,0,0,0,0
,,Spokane2,7,3,1,0,0,0,0
,,Spokane Valley,3,1,0,0,0,0,0
,,Tacoma,3,0,2,0,0,0,0
,,Vancouver,6,0,0,0,0,0,0
,,Walla Walla,4,1,1,1,1,0,0
,,Woodinville,1,0,0,1,0,0,0
,,Yakima,1,2,0,0,0,0,0
,Universities and Colleges,,3,1,2,0,0,2,1
,,University of Washington,2,1,1,0,0,2,1
,,"Washington State University, Pullman",0,0,1,0,0,0,0
,,Western Washington University,1,0,0,0,0,0,0
,Metropolitan Counties,,18,6,7,4,1,1,0
,,Clark,1,0,1,0,0,0,0
,,King,3,3,4,2,0,0,0
,,Kitsap,2,0,0,0,0,0,0
,,Pend Oreille,1,0,0,0,0,0,0
,,Pierce,2,0,0,0,0,0,0
,,Skagit,1,0,0,0,0,0,0
,,Snohomish,2,0,0,0,0,0,0
,,Spokane,1,0,1,0,0,0,0
,,Stevens2,1,1,0,0,0,0,0
,,Thurston,0,0,1,1,0,0,0
,,Walla Walla,0,0,0,1,0,0,0
,,Whatcom,4,2,0,0,1,1,0
,Nonmetropolitan Counties,,2,2,0,0,0,0,0
,,Garfield,1,0,0,0,0,0,0
,,Grays Harbor,1,0,0,0,0,0,0
,,San Juan,0,1,0,0,0,0,0
,,Whitman,0,1,0,0,0,0,0
,Other Agencies,,1,1,0,2,0,0,0
,,Port of Seattle,1,1,0,2,0,0,0
West Virginia,Total,,17,2,4,1,2,0,0
,Cities,,11,0,1,1,1,0,0
,,Charleston,3,0,1,1,0,0,0
,,Chester,1,0,0,0,0,0,0
,,Fairmont,1,0,0,0,1,0,0
,,Hinton,1,0,0,0,0,0,0
,,Moundsville,1,0,0,0,0,0,0
,,Weirton,1,0,0,0,0,0,0
,,Winfield,3,0,0,0,0,0,0
,Universities and Colleges,,2,1,0,0,0,0,0
,,West Virginia State University,1,1,0,0,0,0,0
,,West Virginia University,1,0,0,0,0,0,0
,Metropolitan Counties,,4,1,3,0,1,0,0
,,Brooke,1,0,0,0,0,0,0
,,Fayette,0,0,1,0,0,0,0
,,Hancock,1,0,0,0,0,0,0
,,Kanawha,1,0,1,0,1,0,0
,,Marshall,0,0,1,0,0,0,0
,,Ohio,1,0,0,0,0,0,0
,,Raleigh,0,1,0,0,0,0,0
Wisconsin,Total,,28,6,9,5,3,0,0
