state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity
,,University of North Dakota,1,0,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0
,,Hettinger,1,0,0,0,0,0
Ohio,Total,,336,35,60,9,1,1
,Cities,,308,28,56,8,1,0
,,Akron,3,0,1,0,0,0
,,Albany,0,0,1,0,0,0
,,Athens,1,0,0,0,0,0
,,Aurora,2,0,1,0,0,0
,,Barberton,1,0,0,0,0,0
,,Beaver Township,0,0,1,0,0,0
,,Bellbrook,0,1,0,1,0,0
,,Bellefontaine,1,0,1,0,0,0
,,Bexley,0,1,0,0,0,0
,,Blue Ash,1,1,1,0,1,0
,,Boardman2,1,0,0,0,0,0
,,Canton,1,0,0,0,0,0
,,Chillicothe,1,0,0,0,0,0
,,Cincinnati,32,2,8,0,0,0
,,Circleville,1,0,0,0,0,0
,,Cleveland,8,0,0,0,0,0
,,Colerain Township,4,0,0,0,0,0
,,Columbus2,123,10,18,0,0,0
,,Dayton,5,0,0,0,0,0
,,Defiance,1,0,0,0,0,0
,,Delhi Township,3,0,0,0,0,0
,,East Palestine,2,0,0,0,0,0
,,Elyria,2,0,1,0,0,0
,,Fairborn,1,0,1,0,0,0
,,Fairview Park,1,0,0,0,0,0
,,Findlay,0,1,0,0,0,0
,,Gahanna,2,1,0,0,0,0
,,Garfield Heights,0,0,1,0,0,0
,,Green Township,0,0,1,0,0,0
,,Greenville,1,0,0,0,0,0
,,Grove City,5,0,0,0,0,0
,,Hamilton,9,0,0,0,0,0
,,Heath,1,0,0,0,0,0
,,Hilliard,2,0,1,0,0,0
,,Huber Heights,3,0,1,1,0,0
,,Independence,1,0,0,0,0,0
,,"Jackson Township, Stark County",2,0,1,0,0,0
,,Lockland,1,0,0,0,0,0
,,Lyndhurst,1,1,1,0,0,0
,,Mansfield,1,2,0,0,0,0
,,Marietta,1,0,0,0,0,0
,,Massillon,3,0,0,0,0,0
,,Maumee,0,1,0,0,0,0
,,Mayfield Heights,1,0,0,0,0,0
,,Medina Township,1,0,0,0,0,0
,,Miamisburg,0,1,0,0,0,0
,,"Miami Township, Montgomery County",1,0,0,0,0,0
,,Monroe,1,0,0,0,0,0
,,Montgomery,1,0,0,0,0,0
,,Montpelier,1,0,0,0,0,0
,,Montville Township,1,0,0,0,0,0
,,Moraine,3,0,0,0,0,0
,,Mount Healthy,1,0,0,0,0,0
,,Napoleon,2,0,2,0,0,0
,,New Franklin,1,0,0,0,0,0
,,Newton Falls,1,0,0,0,0,0
,,North College Hill,0,0,1,0,0,0
,,Oberlin,0,1,0,0,0,0
,,Parma,1,2,0,0,0,0
,,Portsmouth,1,0,0,0,0,0
,,Powell,1,0,0,0,0,0
,,Reynoldsburg,1,0,0,0,0,0
,,Salem,0,0,0,4,0,0
,,Shelby,1,0,1,0,0,0
,,Sidney,2,0,1,0,0,0
,,South Euclid,1,0,0,0,0,0
,,"Springfield Township, Hamilton County",0,0,1,0,0,0
,,"Springfield Township, Summit County",1,0,1,0,0,0
,,Steubenville,1,0,0,0,0,0
,,Streetsboro,0,0,0,1,0,0
,,Toledo,31,0,4,0,0,0
,,Troy,0,0,2,0,0,0
,,Upper Arlington,1,0,0,0,0,0
,,Upper Sandusky,1,0,0,0,0,0
,,Urbana,9,0,0,0,0,0
,,Vienna Township,1,0,0,0,0,0
,,Wadsworth,1,0,0,0,0,0
,,Wapakoneta,2,1,0,0,0,0
,,Warren,1,0,0,0,0,0
,,West Chester Township,1,0,0,0,0,0
,,West Jefferson,0,0,0,1,0,0
,,Wilmington,1,1,0,0,0,0
,,Wooster,1,0,0,0,0,0
,,Xenia,1,0,0,0,0,0
,,Yellow Springs,1,1,0,0,0,0
,,Youngstown,2,0,1,0,0,0
,,Zanesville,1,0,2,0,0,0
,Universities and Colleges,,5,0,1,0,0,0
,,Capital University,0,0,1,0,0,0
,,Kent State University,1,0,0,0,0,0
,,"Ohio State University, Columbus",2,0,0,0,0,0
,,Otterbein University,1,0,0,0,0,0
,,University of Akron,1,0,0,0,0,0
,Metropolitan Counties,,13,4,3,1,0,1
,,Butler,1,1,0,0,0,0
,,Clark,0,1,1,0,0,0
,,Clermont,0,1,0,0,0,0
,,Delaware,1,0,0,0,0,0
,,Geauga,1,0,0,0,0,0
,,Greene,6,1,0,0,0,0
,,Lawrence,1,0,0,0,0,0
,,Lorain,0,0,0,0,0,1
,,Montgomery,1,0,1,0,0,0
,,Summit,1,0,0,0,0,0
,,Trumbull,1,0,0,1,0,0
,,Warren,0,0,1,0,0,0
,Nonmetropolitan Counties,,7,2,0,0,0,0
,,Ashland,1,0,0,0,0,0
,,Ashtabula,1,0,0,0,0,0
,,Champaign,1,0,0,0,0,0
,,Fayette,0,1,0,0,0,0
,,Gallia,1,0,0,0,0,0
,,Highland,1,0,0,0,0,0
,,Mercer,0,1,0,0,0,0
,,Pike,1,0,0,0,0,0
,,Ross,1,0,0,0,0,0
,Other Agencies,,3,1,0,0,0,0
,,Cleveland Metropolitan Park District,2,1,0,0,0,0
,,Ohio Department of Natural Resources,1,0,0,0,0,0
Oklahoma,Total,,20,5,5,3,0,0
,Cities,,9,4,4,0,0,0
,,Anadarko,1,0,0,0,0,0
,,Blanchard,0,1,0,0,0,0
,,Collinsville,2,0,0,0,0,0
,,Cushing,1,1,0,0,0,0
,,Heavener,0,0,1,0,0,0
,,Norman,1,0,1,0,0,0
,,Nowata,0,1,0,0,0,0
,,Oklahoma City,3,0,0,0,0,0
,,Perry,0,0,1,0,0,0
,,Tulsa,0,1,0,0,0,0
,,Union City,1,0,0,0,0,0
,,Woodward,0,0,1,0,0,0
,Metropolitan Counties,,6,1,0,0,0,0
,,Lincoln,1,0,0,0,0,0
,,Okmulgee,1,0,0,0,0,0
,,Wagoner,4,1,0,0,0,0
,Nonmetropolitan Counties,,5,0,1,3,0,0
,,Craig,0,0,0,1,0,0
,,Delaware,2,0,0,1,0,0
,,Garvin,1,0,0,0,0,0
,,Kingfisher,1,0,0,0,0,0
,,Payne,0,0,0,1,0,0
,,Seminole,0,0,1,0,0,0
,,Woodward,1,0,0,0,0,0
Oregon,Total,,61,23,17,2,0,1
,Cities,,57,19,13,1,0,1
,,Ashland,1,0,1,0,0,0
,,Beaverton,2,0,0,0,0,0
,,Coos Bay,0,1,0,0,0,0
,,Cornelius,1,0,0,0,0,0
,,Corvallis,1,1,0,0,0,0
,,Eugene,27,5,4,1,0,1
,,Gervais,0,0,1,0,0,0
,,Gresham,4,1,1,0,0,0
,,Hood River,0,1,0,0,0,0
,,Lincoln City,0,3,0,0,0,0
,,Medford,0,0,1,0,0,0
,,Newberg-Dundee,1,0,0,0,0,0
,,Oregon City,2,0,0,0,0,0
,,Portland,5,3,2,0,0,0
,,Salem,4,2,2,0,0,0
,,Springfield,6,1,0,0,0,0
,,Talent,1,0,0,0,0,0
,,Tigard,2,1,0,0,0,0
,,Tualatin,0,0,1,0,0,0
,Metropolitan Counties,,1,1,1,0,0,0
,,Jackson,0,1,0,0,0,0
,,Lane,1,0,0,0,0,0
,,Washington,0,0,1,0,0,0
,Nonmetropolitan Counties,,3,3,3,1,0,0
,,Crook,1,0,1,0,0,0
,,Hood River,0,1,0,0,0,0
,,Jefferson,0,0,1,0,0,0
,,Morrow,1,1,0,0,0,0
,,Umatilla,0,1,1,1,0,0
,,Union,1,0,0,0,0,0
Pennsylvania,Total,,40,9,11,1,0,0
,Cities,,32,8,9,1,0,0
,,"Abington Township, Montgomery County",1,1,0,0,0,0
,,Camp Hill,1,0,0,0,0,0
,,Carlisle,0,0,1,0,0,0
,,Ferguson Township,1,0,0,0,0,0
,,Hamburg,1,0,0,0,0,0
,,Johnstown,1,0,0,0,0,0
,,Lancaster,1,0,0,0,0,0
,,Mechanicsburg,2,0,0,0,0,0
,,Philadelphia,7,4,7,0,0,0
,,Pittsburgh,11,2,1,0,0,0
,,Reading,1,0,0,0,0,0
,,Scranton,1,1,0,0,0,0
,,State College,2,0,0,1,0,0
,,"Washington Township, Franklin County",1,0,0,0,0,0
,,Whitemarsh Township,1,0,0,0,0,0
,Universities and Colleges,,4,0,2,0,0,0
,,"Pennsylvania State University, University Park",4,0,2,0,0,0
,Metropolitan Counties,,1,0,0,0,0,0
,,Allegheny,1,0,0,0,0,0
,State Police Agencies,,3,1,0,0,0,0
,,State Police: ,,,,,,
,,Delaware County,1,0,0,0,0,0
,,Monroe County,0,1,0,0,0,0
,,Skippack,2,0,0,0,0,0
Rhode Island,Total,,2,6,3,1,0,0
,Cities,,2,4,1,0,0,0
,,Cranston,0,1,0,0,0,0
,,Pawtucket,1,1,0,0,0,0
,,Portsmouth,0,1,0,0,0,0
,,Providence,0,0,1,0,0,0
,,South Kingstown,0,1,0,0,0,0
,,Tiverton,1,0,0,0,0,0
,Universities and Colleges,,0,2,1,0,0,0
,,Brown University,0,1,1,0,0,0
,,University of Rhode Island,0,1,0,0,0,0
,State Police Agencies,,0,0,1,1,0,0
,,State Police: ,,,,,,
,,Chepachet,0,0,0,1,0,0
,,Lincoln,0,0,1,0,0,0
South Carolina,Total,,18,1,3,1,0,0
,Cities,,10,1,1,0,0,0
,,Andrews,1,0,0,0,0,0
,,Blackville,0,1,0,0,0,0
,,Chester,1,0,0,0,0,0
,,Cottageville,1,0,0,0,0,0
,,Florence,0,0,1,0,0,0
,,Folly Beach,2,0,0,0,0,0
,,Greer,1,0,0,0,0,0
,,Moncks Corner,1,0,0,0,0,0
,,North Myrtle Beach,1,0,0,0,0,0
,,Pageland,1,0,0,0,0,0
,,Simpsonville,1,0,0,0,0,0
,Universities and Colleges,,2,0,0,1,0,0
,,Clemson University,1,0,0,0,0,0
,,Coastal Carolina University,0,0,0,1,0,0
,,Trident Technical College,1,0,0,0,0,0
,Metropolitan Counties,,4,0,2,0,0,0
,,Anderson,1,0,0,0,0,0
,,Darlington,0,0,1,0,0,0
,,Greenville,1,0,0,0,0,0
,,Horry County Police Department,2,0,0,0,0,0
,,Sumter,0,0,1,0,0,0
,Nonmetropolitan Counties,,2,0,0,0,0,0
,,Abbeville,1,0,0,0,0,0
,,Georgetown,1,0,0,0,0,0
South Dakota,Total,,6,2,5,3,0,2
,Cities,,4,2,3,2,0,1
,,Aberdeen,0,0,0,0,0,1
,,Brandon,0,1,0,0,0,0
,,Brookings,0,0,0,1,0,0
,,Chamberlain,0,0,1,0,0,0
,,Madison,0,0,1,0,0,0
,,Rapid City,2,0,0,1,0,0
,,Sioux Falls,2,1,1,0,0,0
,Metropolitan Counties,,2,0,1,1,0,0
,,Meade,1,0,0,0,0,0
,,Minnehaha,1,0,1,0,0,0
,,Union,0,0,0,1,0,0
,Nonmetropolitan Counties,,0,0,1,0,0,1
,,Hamlin,0,0,1,0,0,0
,,Jerauld,0,0,0,0,0,1
Tennessee,Total,,93,18,25,6,0,0
,Cities,,50,12,20,3,0,0
,,Alcoa,4,0,2,0,0,0
,,Alexandria,2,0,0,0,0,0
,,Bristol,1,0,0,0,0,0
,,Chattanooga,1,2,0,0,0,0
,,Clarksville,1,0,0,0,0,0
,,Cleveland,4,0,0,0,0,0
,,Coopertown,0,0,1,0,0,0
,,Covington,0,1,0,1,0,0
,,Cowan,0,0,0,1,0,0
,,Dyersburg,1,0,0,0,0,0
,,East Ridge,1,0,0,0,0,0
,,Franklin,0,1,0,0,0,0
,,Gallaway,2,0,0,0,0,0
,,Greenbrier,1,0,0,0,0,0
,,Hendersonville,1,0,0,0,0,0
,,Humboldt,1,0,0,0,0,0
,,Jackson,2,1,0,0,0,0
,,Jamestown,7,0,0,0,0,0
,,Jasper,0,0,1,0,0,0
,,Johnson City,0,0,1,1,0,0
,,Kingsport,1,0,0,0,0,0
,,Knoxville,0,1,0,0,0,0
,,Lebanon,2,1,0,0,0,0
,,Lenoir City,1,0,0,0,0,0
,,Livingston,1,0,0,0,0,0
,,Memphis,1,1,7,0,0,0
,,Milan,1,0,0,0,0,0
,,Millington,1,0,0,0,0,0
,,Morristown,1,0,0,0,0,0
,,Murfreesboro2,2,0,1,0,0,0
,,Nashville Metropolitan,5,2,5,0,0,0
,,Newport,1,0,0,0,0,0
,,Oak Ridge,0,0,1,0,0,0
,,Pigeon Forge,2,1,0,0,0,0
,,Portland,0,1,0,0,0,0
,,Spring Hill,2,0,0,0,0,0
,,White House,0,0,1,0,0,0
,Universities and Colleges,,3,1,1,0,0,0
,,Pellissippi State Community College,0,1,0,0,0,0
,,Tennessee Technological University,2,0,0,0,0,0
,,"University of Tennessee, Knoxville",0,0,1,0,0,0
,,University of the South,1,0,0,0,0,0
,Metropolitan Counties,,28,4,4,3,0,0
,,Anderson,1,0,0,0,0,0
,,Bradley,2,0,1,0,0,0
,,Dickson,2,0,0,0,0,0
,,Hamblen,1,0,0,0,0,0
,,Hamilton,2,4,1,1,0,0
,,Knox,1,0,0,0,0,0
,,Montgomery,1,0,0,0,0,0
,,Roane,0,0,1,0,0,0
,,Rutherford,1,0,0,0,0,0
,,Shelby,16,0,0,2,0,0
,,Sullivan,1,0,1,0,0,0
,Nonmetropolitan Counties,,1,1,0,0,0,0
,,Lawrence,0,1,0,0,0,0
,,Sevier,1,0,0,0,0,0
,Other Agencies,,11,0,0,0,0,0
,,Department of Safety,11,0,0,0,0,0
Texas,Total,,104,23,37,5,1,8
,Cities,,91,17,28,4,1,8
,,Arlington,4,1,0,0,0,0
,,Austin,10,2,6,0,0,1
,,Beaumont,4,0,0,0,0,0
,,Bedford,1,0,0,0,0,5
,,Borger,1,0,0,0,0,0
,,Burleson,1,0,0,0,0,0
,,Cedar Hill,1,0,0,0,0,0
,,Cedar Park,1,0,1,0,0,0
,,Center,0,0,0,0,1,0
,,College Station,0,1,0,0,0,0
,,Converse,0,0,0,1,0,0
,,Dallas,7,2,2,0,0,0
,,Denison,0,0,1,0,0,0
,,Denton,2,0,1,0,0,0
,,El Paso,0,0,1,0,0,0
,,Fort Worth,11,3,5,1,0,0
,,Frankston,1,0,0,0,0,0
,,Galveston,5,0,1,0,0,0
,,Gilmer,1,0,0,0,0,0
,,Grand Prairie,1,0,0,0,0,0
,,Hedwig Village,0,1,0,0,0,0
,,Houston,3,1,2,0,0,2
,,League City,1,0,0,0,0,0
,,Levelland,2,0,0,0,0,0
,,Lewisville,2,0,0,0,0,0
,,Livingston,1,0,0,0,0,0
,,Longview,2,0,0,1,0,0
,,McKinney,5,0,2,0,0,0
,,Odessa,2,1,0,0,0,0
,,Plano,1,0,0,0,0,0
,,Pleasanton,1,0,0,0,0,0
,,Reno,0,1,0,0,0,0
,,Rockwall,1,0,0,0,0,0
,,Round Rock,0,1,1,0,0,0
,,San Angelo,0,0,1,0,0,0
,,San Antonio,6,2,1,0,0,0
,,San Marcos,0,0,1,0,0,0
,,Seabrook,1,0,0,0,0,0
,,Sealy,1,0,0,0,0,0
,,Sugar Land,1,0,0,0,0,0
,,Teague,1,0,0,0,0,0
,,Temple,1,0,0,0,0,0
,,Texas City,2,0,0,0,0,0
,,Tomball,1,0,0,0,0,0
,,Tyler,2,0,1,1,0,0
,,Weslaco,1,0,1,0,0,0
,,Wichita Falls,1,1,0,0,0,0
,,Willis,1,0,0,0,0,0
,Universities and Colleges,,3,3,3,0,0,0
,,Amarillo College,1,0,0,0,0,0
,,"Baylor University, Waco",1,0,0,0,0,0
,,Southwestern University,0,0,2,0,0,0
,,"Texas State Technical College, West Texas3",0,0,1,0,0,0
,,"Texas Tech University, Lubbock",1,0,0,0,0,0
,,Tyler Junior College,0,1,0,0,0,0
,,"University of Texas, Dallas",0,2,0,0,0,0
,Metropolitan Counties,,7,3,3,1,0,0
,,Bexar,1,0,0,0,0,0
,,Lubbock,1,0,0,0,0,0
,,Parker,0,0,1,1,0,0
,,Travis,3,2,2,0,0,0
,,Williamson,2,1,0,0,0,0
,Nonmetropolitan Counties,,2,0,1,0,0,0
,,Brewster,0,0,1,0,0,0
,,San Jacinto,1,0,0,0,0,0
,,Zavala,1,0,0,0,0,0
,Other Agencies,,1,0,2,0,0,0
,,Dallas-Fort Worth International Airport,0,0,1,0,0,0
,,"Hospital District, Dallas County",1,0,0,0,0,0
,,"Independent School District, El Paso",0,0,1,0,0,0
Utah,Total,,47,8,9,2,0,0
,Cities,,31,6,7,1,0,0
,,Bountiful,3,0,0,0,0,0
,,Centerville,1,0,0,0,0,0
,,Draper,0,1,0,0,0,0
,,Farmington,0,1,0,0,0,0
,,Grantsville,2,0,0,0,0,0
,,Helper,1,0,0,0,0,0
,,Hurricane,1,0,0,0,0,0
,,Layton,1,0,0,0,0,0
,,Lindon,1,0,0,0,0,0
,,Moab,1,0,0,0,0,0
,,North Ogden,2,0,0,0,0,0
,,Ogden2,3,0,4,1,0,0
,,Payson,1,0,1,0,0,0
,,Pleasant View,1,0,0,0,0,0
,,Roosevelt,0,0,1,0,0,0
,,Salt Lake City,1,0,0,0,0,0
,,Santa Clara/Ivins,0,1,0,0,0,0
,,Saratoga Springs,0,2,0,0,0,0
,,South Jordan,1,0,0,0,0,0
,,South Ogden,1,0,0,0,0,0
,,South Salt Lake,1,0,0,0,0,0
,,St. George,2,0,0,0,0,0
,,Tooele,2,0,1,0,0,0
,,West Jordan,2,0,0,0,0,0
,,West Valley,3,1,0,0,0,0
,Universities and Colleges,,2,0,1,0,0,0
,,Brigham Young University,2,0,0,0,0,0
,,"Utah State University, Logan",0,0,1,0,0,0
,Metropolitan Counties,,1,2,0,0,0,0
,,Salt Lake County Unified Police Department,0,1,0,0,0,0
,,Utah,1,0,0,0,0,0
,,Washington,0,1,0,0,0,0
,State Police Agencies,,10,0,0,0,0,0
,,Utah Highway Patrol,10,0,0,0,0,0
,Other Agencies,,3,0,1,1,0,0
,,Utah Transit Authority,3,0,1,1,0,0
Vermont,Total,,16,5,3,1,0,0
,Cities,,15,3,3,1,0,0
,,Barre,1,0,0,0,0,0
,,Barre Town,1,0,0,0,0,0
,,Brandon,1,0,0,0,0,0
,,Burlington,2,1,2,0,0,0
,,Chester,0,0,0,1,0,0
,,Colchester,1,0,0,0,0,0
,,Middlebury,0,1,0,0,0,0
,,Milton,1,0,1,0,0,0
,,Rutland,0,1,0,0,0,0
,,Springfield,1,0,0,0,0,0
,,St. Albans,2,0,0,0,0,0
,,St. Johnsbury,4,0,0,0,0,0
,,Williston,1,0,0,0,0,0
,Universities and Colleges,,0,2,0,0,0,0
,,University of Vermont,0,2,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0
,,Lamoille,1,0,0,0,0,0
Virginia,Total,,76,21,22,3,0,0
,Cities,,23,6,8,1,0,0
,,Alexandria,0,0,2,0,0,0
,,Chesapeake,2,1,0,1,0,0
,,Clifton Forge,1,0,0,0,0,0
,,Covington,0,1,0,0,0,0
,,Front Royal,1,0,2,0,0,0
,,Hampton,1,0,0,0,0,0
,,Harrisonburg,3,1,0,0,0,0
,,Herndon,0,1,0,0,0,0
,,Manassas,1,0,0,0,0,0
,,Newport News,3,0,1,0,0,0
,,Norfolk,0,1,0,0,0,0
,,Portsmouth,3,0,0,0,0,0
,,Purcellville,1,0,0,0,0,0
,,Radford,1,0,0,0,0,0
,,Richmond,0,1,0,0,0,0
,,Rocky Mount,1,0,0,0,0,0
,,Virginia Beach,2,0,3,0,0,0
,,Waynesboro,1,0,0,0,0,0
,,Williamsburg,1,0,0,0,0,0
,,Woodstock,1,0,0,0,0,0
,Universities and Colleges,,6,1,3,0,0,0
,,College of William and Mary,0,0,1,0,0,0
,,Emory and Henry College,1,0,0,0,0,0
,,George Mason University,0,1,0,0,0,0
,,Hampton University,1,0,0,0,0,0
,,Old Dominion University,2,0,0,0,0,0
,,Radford University,1,0,0,0,0,0
,,University of Virginia,0,0,1,0,0,0
,,Virginia Commonwealth University,1,0,1,0,0,0
,Metropolitan Counties,,42,12,7,0,0,0
,,Albemarle County Police Department,3,0,1,0,0,0
,,Amelia,1,0,0,0,0,0
,,Arlington County Police Department,2,1,0,0,0,0
,,Fairfax County Police Department,14,6,4,0,0,0
,,Franklin,0,1,0,0,0,0
,,Frederick,1,0,0,0,0,0
,,Hanover,1,0,0,0,0,0
,,Henrico County Police Department,0,1,0,0,0,0
,,Loudoun,5,1,2,0,0,0
,,Mathews,1,0,0,0,0,0
,,Montgomery,0,1,0,0,0,0
,,Powhatan,1,0,0,0,0,0
,,Prince William County Police Department,5,1,0,0,0,0
,,Spotsylvania,1,0,0,0,0,0
,,Stafford,4,0,0,0,0,0
,,Washington,2,0,0,0,0,0
,,York,1,0,0,0,0,0
,Nonmetropolitan Counties,,3,0,1,2,0,0
,,Accomack,0,0,0,2,0,0
,,Grayson,1,0,0,0,0,0
,,Louisa,1,0,1,0,0,0
,,Shenandoah,1,0,0,0,0,0
,State Police Agencies,,2,2,3,0,0,0
,,State Police:,,,,,,
,,Chesapeake,1,0,0,0,0,0
,,Fairfax County,0,1,1,0,0,0
,,Goochland County,0,0,1,0,0,0
,,Newport News,1,0,0,0,0,0
,,Rockingham County,0,0,1,0,0,0
,,Surry County,0,1,0,0,0,0
Washington,Total,,239,61,70,2,3,14
,Cities,,190,51,59,2,2,11
,,Aberdeen,1,0,1,0,0,0
,,Algona,1,0,0,0,0,0
,,Arlington,1,0,0,0,0,0
,,Auburn,4,1,0,0,0,0
,,Bainbridge Island,0,0,1,0,0,0
,,Battle Ground,1,0,0,0,0,0
,,Bellevue,2,13,3,0,0,0
,,Bellingham,7,0,1,0,0,0
,,Bothell,1,0,0,0,0,0
,,Brier,1,0,0,0,0,0
,,Centralia,4,1,0,0,0,0
,,Darrington,1,0,0,0,0,0
,,Des Moines,1,0,0,0,0,0
,,Edmonds,4,1,0,0,0,0
,,Enumclaw,1,0,0,0,0,0
,,Everett,4,1,0,0,0,0
,,Federal Way,2,0,0,0,0,0
,,Forks,1,0,0,0,1,0
,,Granite Falls,0,0,1,0,0,0
,,Kent,8,3,5,0,0,0
,,Kettle Falls,1,0,0,0,0,0
,,Kirkland,1,0,0,0,0,0
,,Lake Forest Park,0,1,0,0,0,0
,,Lake Stevens,2,0,0,0,0,0
,,Lakewood,2,0,1,0,0,0
,,Longview2,5,2,0,0,0,0
,,Lynnwood,2,0,0,0,0,0
,,Marysville,2,1,0,0,0,1
,,Mill Creek,0,0,1,0,0,0
,,Milton,1,0,0,0,0,0
,,Mountlake Terrace,1,0,0,0,0,0
,,Mount Vernon,0,0,0,0,0,1
,,Mukilteo,0,1,0,0,0,0
,,Oak Harbor,2,0,0,1,0,0
,,Olympia,1,0,0,0,0,0
,,Orting,3,0,0,0,0,0
,,Pasco,1,0,0,0,0,0
,,Port Angeles,4,0,1,0,0,0
,,Port Townsend,0,1,0,0,0,0
,,Pullman,0,1,1,0,0,0
,,Puyallup,2,1,0,0,0,0
,,Redmond2,2,5,0,0,0,0
,,Renton,5,1,2,0,0,0
,,Richland,2,0,0,0,0,0
,,Sammamish,5,1,0,0,1,0
,,Seattle,64,12,33,0,0,9
,,Snohomish,1,0,0,0,0,0
,,Spokane,6,1,1,0,0,0
,,Spokane Valley,8,1,1,0,0,0
,,Stanwood,1,0,0,0,0,0
,,Tacoma,4,0,5,0,0,0
,,Tenino,1,0,0,0,0,0
,,Tukwila,1,0,0,0,0,0
,,Vancouver,4,0,0,0,0,0
,,Walla Walla,6,0,0,1,0,0
,,White Salmon,2,0,0,0,0,0
,,Woodinville,0,1,0,0,0,0
,,Yakima,3,1,1,0,0,0
,Universities and Colleges,,3,1,4,0,1,1
,,Eastern Washington University,0,0,1,0,0,0
,,Evergreen State College,0,0,1,0,0,1
,,University of Washington,1,1,1,0,1,0
,,"Washington State University, Pullman",1,0,0,0,0,0
,,Western Washington University,1,0,1,0,0,0
,Metropolitan Counties,,41,8,7,0,0,1
,,Clark,1,0,0,0,0,0
,,Cowlitz,2,1,2,0,0,0
,,King,11,2,1,0,0,0
,,Pierce,10,0,1,0,0,0
,,Skagit,0,0,0,0,0,1
,,Snohomish,4,2,0,0,0,0
,,Spokane,1,0,0,0,0,0
,,Walla Walla,0,1,0,0,0,0
,,Whatcom2,8,2,3,0,0,0
,,Yakima,4,0,0,0,0,0
,Nonmetropolitan Counties,,3,1,0,0,0,1
,,Grays Harbor,1,0,0,0,0,0
,,Island,1,0,0,0,0,0
,,Lewis,1,0,0,0,0,0
,,Mason,0,1,0,0,0,0
,,San Juan,0,0,0,0,0,1
,Tribal Agencies,,1,0,0,0,0,0
,,Lummi Tribal,1,0,0,0,0,0
,Other Agencies,,1,0,0,0,0,0
,,Port of Seattle,1,0,0,0,0,0
West Virginia,Total,,30,1,7,3,0,0
,Cities,,20,1,6,2,0,0
,,Beckley,1,0,0,0,0,0
,,Buckhannon,1,0,0,0,0,0
,,Charleston,10,1,4,0,0,0
,,Fairmont,0,0,0,1,0,0
,,Fayetteville,2,0,0,0,0,0
,,Huntington,0,0,1,1,0,0
,,Moundsville,1,0,0,0,0,0
,,Oak Hill,2,0,0,0,0,0
,,Parkersburg,0,0,1,0,0,0
,,Philippi,1,0,0,0,0,0
,,Ranson,1,0,0,0,0,0
,,Wheeling,1,0,0,0,0,0
,Metropolitan Counties,,7,0,1,1,0,0
,,Berkeley,1,0,0,0,0,0
,,Brooke,1,0,0,0,0,0
,,Cabell,1,0,0,0,0,0
,,Hancock,2,0,0,0,0,0
,,Jefferson,1,0,0,0,0,0
,,Kanawha,1,0,1,1,0,0
,Nonmetropolitan Counties,,3,0,0,0,0,0
,,Mason,3,0,0,0,0,0
Wisconsin,Total,,22,8,3,0,0,1
,Cities,,18,7,3,0,0,1
,,Appleton,1,0,0,0,0,0
,,Cross Plains,0,0,1,0,0,0
,,Fox Valley Metro,1,0,0,0,0,0
,,Green Bay,1,0,0,0,0,0
,,Hudson,0,0,1,0,0,0
,,Janesville,1,0,0,0,0,0
,,La Crosse,1,0,0,0,0,0
,,Madison,8,7,0,0,0,0
,,Manitowoc,1,0,0,0,0,0
,,Milwaukee,0,0,1,0,0,1
,,New Richmond,1,0,0,0,0,0
,,Onalaska,1,0,0,0,0,0
,,Osceola,1,0,0,0,0,0
,,Stoughton,1,0,0,0,0,0
,Metropolitan Counties,,3,1,0,0,0,0
,,Fond du Lac,2,0,0,0,0,0
,,Outagamie,1,0,0,0,0,0
,,St. Croix,0,1,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0
,,Rusk,1,0,0,0,0,0
Wyoming,Total,,3,0,0,0,0,0
,Cities,,3,0,0,0,0,0
,,Gillette,3,0,0,0,0,0
