state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity,,,,,
,,Ho-Ho-Kus,0,1,0,0,0,0,,,,,
,,Hopewell Township,1,0,0,0,0,0,,,,,
,,Howell Township,5,1,1,0,0,0,,,,,
,,Jackson Township,0,1,0,0,0,0,,,,,
,,Jersey City,0,0,2,1,0,0,,,,,
,,Keansburg,2,0,0,0,0,0,,,,,
,,Lacey Township,2,0,0,0,0,0,,,,,
,,Lakewood Township,8,17,0,0,0,0,,,,,
,,Little Falls Township,1,2,1,0,0,0,,,,,
,,Livingston Township,0,2,0,0,0,0,,,,,
,,Lodi,1,0,0,0,0,0,,,,,
,,Lower Township,1,0,1,0,0,0,,,,,
,,Madison,3,3,0,0,0,0,,,,,
,,Manalapan Township,1,3,0,0,0,0,,,,,
,,Manasquan,0,1,0,0,0,0,,,,,
,,Manchester Township,1,0,0,0,0,0,,,,,
,,Medford Lakes,0,1,0,0,0,0,,,,,
,,Medford Township,1,2,0,0,0,0,,,,,
,,Middlesex,1,0,0,0,0,0,,,,,
,,Middle Township,0,0,1,0,0,0,,,,,
,,Midland Park,0,2,0,0,0,0,,,,,
,,Millburn Township,0,1,0,0,0,0,,,,,
,,"Monroe Township, Gloucester County",2,0,0,0,0,0,,,,,
,,"Monroe Township, Middlesex County",7,1,0,0,0,0,,,,,
,,Montclair,2,1,1,0,0,0,,,,,
,,Montville Township,0,1,0,0,0,0,,,,,
,,Morris Township,0,2,0,0,0,0,,,,,
,,Mount Laurel Township,2,0,0,0,0,0,,,,,
,,Neptune Township,8,0,2,0,0,0,,,,,
,,New Brunswick,4,7,5,0,0,0,,,,,
,,New Milford,0,1,1,0,0,0,,,,,
,,North Bergen Township,1,0,0,0,0,0,,,,,
,,North Brunswick Township,1,0,0,0,0,0,,,,,
,,Northfield,1,0,0,0,0,0,,,,,
,,North Haledon,1,0,0,0,0,0,,,,,
,,Norwood,2,1,0,0,0,0,,,,,
,,Palmyra,1,0,1,0,0,0,,,,,
,,Paramus,1,1,0,0,0,0,,,,,
,,Park Ridge,0,0,1,0,0,0,,,,,
,,Parsippany-Troy Hills Township,0,1,0,0,0,0,,,,,
,,Passaic,0,3,1,0,0,0,,,,,
,,Piscataway Township,5,0,0,0,0,0,,,,,
,,Princeton,0,3,0,0,0,0,,,,,
,,Randolph Township,5,1,0,0,0,0,,,,,
,,Ridgefield Park,0,0,1,0,0,0,,,,,
,,Ridgewood,0,1,0,0,0,0,,,,,
,,River Edge,0,2,0,0,0,0,,,,,
,,Roselle,1,0,0,0,0,0,,,,,
,,Saddle Brook Township,2,0,0,0,0,0,,,,,
,,Scotch Plains Township,0,1,0,0,0,0,,,,,
,,Sea Girt,0,1,0,0,0,0,,,,,
,,Secaucus,1,1,0,0,0,0,,,,,
,,Somerville,0,1,0,0,0,0,,,,,
,,South Amboy,1,0,0,0,0,0,,,,,
,,South Brunswick Township,9,1,0,0,0,0,,,,,
,,South Plainfield,1,1,0,0,0,0,,,,,
,,South River,1,0,0,0,0,0,,,,,
,,Springfield,0,1,0,0,0,0,,,,,
,,Stone Harbor,1,0,0,0,0,0,,,,,
,,Union City,1,0,0,0,0,0,,,,,
,,Verona,0,6,0,0,0,0,,,,,
,,Voorhees Township,1,1,0,0,0,0,,,,,
,,Wallington,0,1,0,0,0,0,,,,,
,,"Washington Township, Gloucester County",1,0,0,0,0,0,,,,,
,,Wayne Township,2,2,0,0,0,0,,,,,
,,West Deptford Township,2,1,1,0,0,0,,,,,
,,West Long Branch,0,5,0,0,0,0,,,,,
,,West Milford Township,2,0,0,0,0,0,,,,,
,,West Windsor Township,0,1,0,0,0,0,,,,,
,,Winfield Township,1,0,0,0,0,0,,,,,
,,Woodbridge Township,2,0,0,0,0,0,,,,,
,,Woodbury,5,0,2,0,0,0,,,,,
,,Woodstown,0,1,0,0,0,0,,,,,
,Metropolitan Counties,,1,0,0,0,0,0,,,,,
,,Camden County Police Department,1,0,0,0,0,0,,,,,
,State Police Agencies,,1,0,0,0,0,0,,,,,
,,"State Police, Monmouth County",1,0,0,0,0,0,,,,,
New Mexico,Total,,8,2,3,0,0,0,,,,,
,Cities,,8,2,3,0,0,0,,,,,
,,Albuquerque,7,2,3,0,0,0,,,,,
,,Los Lunas,1,0,0,0,0,0,,,,,
New York,Total,,136,256,104,1,0,3,,,,,
,Cities,,99,170,90,1,0,2,,,,,
,,Albany,3,0,0,0,0,0,,,,,
,,Amherst Town,2,0,0,0,0,0,,,,,
,,Auburn,0,0,1,0,0,0,,,,,
,,Buffalo,3,0,3,0,0,0,,,,,
,,Cairo Town,1,0,0,0,0,0,,,,,
,,Cheektowaga Town,1,0,0,0,0,0,,,,,
,,Clarkstown Town,0,3,0,0,0,0,,,,,
,,Cooperstown Village,1,0,0,0,0,0,,,,,
,,Crawford Town,0,2,0,0,0,0,,,,,
,,Freeport Village,0,2,0,0,0,0,,,,,
,,Greenburgh Town,0,1,0,0,0,0,,,,,
,,Hamburg Town,1,0,0,0,0,0,,,,,
,,Hastings-on-Hudson Village,0,1,0,0,0,0,,,,,
,,Ithaca,0,0,1,0,0,0,,,,,
,,Jamestown,1,0,0,0,0,0,,,,,
,,Lancaster Town,0,1,0,0,0,0,,,,,
,,Middletown,0,1,0,0,0,0,,,,,
,,Monroe Village,0,2,0,0,0,0,,,,,
,,Mount Vernon,1,0,0,0,0,0,,,,,
,,New Rochelle,1,0,0,0,0,0,,,,,
,,New York,71,154,81,1,0,0,,,,,
,,North Greenbush Town,0,0,1,0,0,0,,,,,
,,Ogdensburg,0,0,1,0,0,0,,,,,
,,Oswego City,1,0,0,0,0,0,,,,,
,,Port Washington,0,1,0,0,0,0,,,,,
,,Poughkeepsie,3,0,0,0,0,0,,,,,
,,Rochester,0,0,0,0,0,1,,,,,
,,Saratoga Springs,1,0,0,0,0,0,,,,,
,,Schenectady,0,1,0,0,0,0,,,,,
,,Scotia Village,1,0,0,0,0,0,,,,,
,,Solvay Village,1,0,0,0,0,0,,,,,
,,Spring Valley Village,1,0,0,0,0,0,,,,,
,,Troy,1,0,0,0,0,0,,,,,
,,Tupper Lake Village,1,0,0,0,0,0,,,,,
,,Webster Town and Village,1,0,0,0,0,0,,,,,
,,Yonkers,2,1,2,0,0,1,,,,,
,Universities and Colleges,,4,6,3,0,0,0,,,,,
,,"State University of New York, Binghamton",1,1,1,0,0,0,,,,,
,,"State University of New York Agricultural and Technical College, Morrisville",1,1,0,0,0,0,,,,,
,,State University of New York College:,,,,,,,,,,,
,,New Paltz,0,1,0,0,0,0,,,,,
,,Oneonta,0,1,0,0,0,0,,,,,
,,Potsdam,1,0,2,0,0,0,,,,,
,,Purchase,1,2,0,0,0,0,,,,,
,Metropolitan Counties,,21,69,10,0,0,1,,,,,
,,Dutchess,0,1,0,0,0,0,,,,,
,,Nassau,8,23,1,0,0,0,,,,,
,,Niagara,0,0,1,0,0,0,,,,,
,,Orleans,0,1,0,0,0,0,,,,,
,,Suffolk County Police Department,13,44,8,0,0,1,,,,,
,Nonmetropolitan Counties,,0,0,1,0,0,0,,,,,
,,Cattaraugus,0,0,1,0,0,0,,,,,
,State Police Agencies,,7,3,0,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,Cattaraugus County ,1,0,0,0,0,0,,,,,
,,Delaware County ,0,1,0,0,0,0,,,,,
,,Duchess County ,1,0,0,0,0,0,,,,,
,,Franklin County ,1,0,0,0,0,0,,,,,
,,Monroe County ,1,0,0,0,0,0,,,,,
,,Orange County ,0,1,0,0,0,0,,,,,
,,St. Lawrence County ,0,1,0,0,0,0,,,,,
,,Tioga County ,1,0,0,0,0,0,,,,,
,,Warren County ,1,0,0,0,0,0,,,,,
,,Westchester County ,1,0,0,0,0,0,,,,,
,Other Agencies,,5,8,0,0,0,0,,,,,
,,New York City Metropolitan Transportation Authority,4,8,0,0,0,0,,,,,
,,"State Park, New York City Region",1,0,0,0,0,0,,,,,
North Carolina,Total,,106,17,37,2,0,0,,,,,
,Cities,,82,14,33,2,0,0,,,,,
,,Apex,2,0,1,0,0,0,,,,,
,,Asheville,3,1,3,0,0,0,,,,,
,,Boone,0,1,0,0,0,0,,,,,
,,Brevard,1,0,0,0,0,0,,,,,
,,Carrboro,1,0,0,0,0,0,,,,,
,,Charlotte-Mecklenburg,16,3,9,1,0,0,,,,,
,,Dunn,0,0,2,0,0,0,,,,,
,,Durham,4,1,0,0,0,0,,,,,
,,Erwin,1,0,0,0,0,0,,,,,
,,Fayetteville,3,1,0,1,0,0,,,,,
,,Gastonia,6,0,0,0,0,0,,,,,
,,Granite Falls,1,0,0,0,0,0,,,,,
,,Greensboro3,4,2,4,0,0,0,,,,,
,,Greenville,2,0,0,0,0,0,,,,,
,,Hickory,2,0,0,0,0,0,,,,,
,,High Point,1,0,0,0,0,0,,,,,
,,Hillsborough,1,0,0,0,0,0,,,,,
,,Hope Mills,1,0,0,0,0,0,,,,,
,,Jacksonville,1,0,1,0,0,0,,,,,
,,Mars Hill,1,0,0,0,0,0,,,,,
,,Mayodan,1,0,1,0,0,0,,,,,
,,Mint Hill,0,0,1,0,0,0,,,,,
,,Mocksville,1,0,0,0,0,0,,,,,
,,Newton,1,0,1,0,0,0,,,,,
,,Oxford,1,0,0,0,0,0,,,,,
,,Raleigh,12,4,6,0,0,0,,,,,
,,Reidsville,2,0,0,0,0,0,,,,,
,,Rocky Mount,0,0,1,0,0,0,,,,,
,,Roxboro,1,0,0,0,0,0,,,,,
,,Salisbury,3,0,0,0,0,0,,,,,
,,Siler City,2,0,0,0,0,0,,,,,
,,Smithfield,2,0,0,0,0,0,,,,,
,,Wilmington,3,1,3,0,0,0,,,,,
,,Wilson,2,0,0,0,0,0,,,,,
,Universities and Colleges,,6,0,3,0,0,0,,,,,
,,Duke University,1,0,1,0,0,0,,,,,
,,East Carolina University,1,0,0,0,0,0,,,,,
,,Elizabeth City State University,1,0,0,0,0,0,,,,,
,,North Carolina School of the Arts,2,0,0,0,0,0,,,,,
,,University of North Carolina:,,,,,,,,,,,
,,Greensboro,1,0,0,0,0,0,,,,,
,,Pembroke,0,0,2,0,0,0,,,,,
,Metropolitan Counties,,15,3,0,0,0,0,,,,,
,,Cabarrus,0,1,0,0,0,0,,,,,
,,Caldwell,0,1,0,0,0,0,,,,,
,,Currituck,1,0,0,0,0,0,,,,,
,,Forsyth,5,0,0,0,0,0,,,,,
,,Franklin,4,0,0,0,0,0,,,,,
,,Gaston County Police Department,1,0,0,0,0,0,,,,,
,,Guilford,0,1,0,0,0,0,,,,,
,,New Hanover,1,0,0,0,0,0,,,,,
,,Pitt,3,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,3,0,1,0,0,0,,,,,
,,Bladen,1,0,0,0,0,0,,,,,
,,Cleveland,1,0,0,0,0,0,,,,,
,,Rutherford,1,0,1,0,0,0,,,,,
North Dakota,Total,,29,3,4,0,0,0,,,,,
,Cities,,23,2,2,0,0,0,,,,,
,,Belfield,1,0,0,0,0,0,,,,,
,,Bismarck,8,0,0,0,0,0,,,,,
,,Devils lake,1,0,0,0,0,0,,,,,
,,Dickinson,0,0,1,0,0,0,,,,,
,,Fargo,8,1,0,0,0,0,,,,,
,,Grand Forks,1,0,0,0,0,0,,,,,
,,Mandan,1,0,0,0,0,0,,,,,
,,Minot,1,0,0,0,0,0,,,,,
,,Rugby,1,0,0,0,0,0,,,,,
,,Wahpeton,1,0,0,0,0,0,,,,,
,,Watford City,0,1,0,0,0,0,,,,,
,,Williston,0,0,1,0,0,0,,,,,
,Universities and Colleges,,0,0,1,0,0,0,,,,,
,,University of North Dakota,0,0,1,0,0,0,,,,,
,Metropolitan Counties,,0,1,0,0,0,0,,,,,
,,Morton,0,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,6,0,1,0,0,0,,,,,
,,Barnes,1,0,0,0,0,0,,,,,
,,McKenzie,2,0,0,0,0,0,,,,,
,,McLean,1,0,0,0,0,0,,,,,
,,Ramsey,1,0,1,0,0,0,,,,,
,,Richland,1,0,0,0,0,0,,,,,
Ohio,Total,,309,39,58,10,0,0,,,,,
,Cities,,276,27,52,9,0,0,,,,,
,,Akron,4,0,0,0,0,0,,,,,
,,Athens,0,1,0,0,0,0,,,,,
,,Barberton,5,0,1,0,0,0,,,,,
,,Bellefontaine,2,0,0,0,0,0,,,,,
,,Blue Ash,2,0,0,0,0,0,,,,,
,,Boardman,4,0,0,0,0,0,,,,,
,,Bowling Green,1,0,0,0,0,0,,,,,
,,Butler Township,2,0,0,0,0,0,,,,,
,,Celina,1,0,0,0,0,0,,,,,
,,Cheviot,1,0,0,0,0,0,,,,,
,,Cincinnati,23,4,6,0,0,0,,,,,
,,Cleveland,6,1,0,1,0,0,,,,,
,,Coldwater,1,0,0,0,0,0,,,,,
,,Columbus,114,9,14,0,0,0,,,,,
,,Columbus Grove,1,0,0,0,0,0,,,,,
,,Conneaut,0,0,0,5,0,0,,,,,
,,Cortland,1,0,0,0,0,0,,,,,
,,Dayton,4,1,0,0,0,0,,,,,
,,Defiance,1,0,0,0,0,0,,,,,
,,Elmwood Place,7,0,0,0,0,0,,,,,
,,Fairborn,1,1,0,0,0,0,,,,,
,,Forest Park,1,0,0,0,0,0,,,,,
,,Fostoria,1,0,0,0,0,0,,,,,
,,Gahanna,1,0,0,0,0,0,,,,,
,,Garfield Heights,1,0,0,0,0,0,,,,,
,,Glouster,1,0,0,0,0,0,,,,,
,,Greenhills,2,0,0,0,0,0,,,,,
,,Grove City,3,0,0,0,0,0,,,,,
,,Hamilton,6,0,4,1,0,0,,,,,
,,Haskins,1,0,0,0,0,0,,,,,
,,Heath,4,0,1,0,0,0,,,,,
,,Holland,2,0,0,0,0,0,,,,,
,,Howland Township,1,0,0,0,0,0,,,,,
,,Huber Heights,2,0,0,0,0,0,,,,,
,,Independence,1,0,1,0,0,0,,,,,
,,"Jackson Township, Stark County",2,0,1,0,0,0,,,,,
,,Lakewood,9,0,0,0,0,0,,,,,
,,Lancaster,0,0,1,0,0,0,,,,,
,,Lorain,1,0,0,0,0,0,,,,,
,,Lyndhurst,0,1,0,0,0,0,,,,,
,,"Madison Township, Franklin County",2,0,1,0,0,0,,,,,
,,Mansfield,3,0,0,0,0,0,,,,,
,,Massillon,1,0,0,0,0,0,,,,,
,,Maumee,0,0,1,0,0,0,,,,,
,,Medina Township,0,1,0,0,0,0,,,,,
,,Mentor,1,0,0,0,0,0,,,,,
,,Miamisburg,0,0,0,1,0,0,,,,,
,,"Miami Township, Montgomery County",1,1,0,0,0,0,,,,,
,,Monroe,4,0,0,0,0,0,,,,,
,,Montpelier,2,0,0,0,0,0,,,,,
,,Montville Township,0,1,0,0,0,0,,,,,
,,Moraine,2,0,0,0,0,0,,,,,
,,Mount Healthy,1,0,0,0,0,0,,,,,
,,Mount Vernon,1,0,0,0,0,0,,,,,
,,Newton Falls,0,0,2,0,0,0,,,,,
,,Niles,4,2,0,0,0,0,,,,,
,,North Canton,1,0,0,0,0,0,,,,,
,,Norton,2,0,1,0,0,0,,,,,
,,Parma,1,0,0,0,0,0,,,,,
,,Portsmouth,0,0,1,0,0,0,,,,,
,,Sidney,0,0,1,0,0,0,,,,,
,,"Springfield Township, Hamilton County",1,0,2,0,0,0,,,,,
,,Streetsboro,0,0,1,0,0,0,,,,,
,,Sugarcreek Township,1,0,0,0,0,0,,,,,
,,Sunbury,1,0,0,0,0,0,,,,,
,,Toledo3,13,1,5,0,0,0,,,,,
,,Upper Arlington,1,1,0,0,0,0,,,,,
,,Urbana,2,1,0,0,0,0,,,,,
,,Vandalia,1,0,0,0,0,0,,,,,
,,Van Wert,0,0,1,0,0,0,,,,,
,,Vienna Township,0,0,0,1,0,0,,,,,
,,Wadsworth,1,0,5,0,0,0,,,,,
,,Washington Court House,0,0,1,0,0,0,,,,,
,,Weathersfield,1,0,0,0,0,0,,,,,
,,Wellston,1,0,0,0,0,0,,,,,
,,West Carrollton,1,0,0,0,0,0,,,,,
,,West Chester Township,1,0,0,0,0,0,,,,,
,,Wilmington,2,0,0,0,0,0,,,,,
,,Wooster,1,0,0,0,0,0,,,,,
,,Worthington,1,0,0,0,0,0,,,,,
,,Youngstown,1,1,0,0,0,0,,,,,
,,Zanesville,0,0,1,0,0,0,,,,,
,Universities and Colleges,,5,2,0,0,0,0,,,,,
,,Bowling Green State University,1,0,0,0,0,0,,,,,
,,Capital University,1,1,0,0,0,0,,,,,
,,Lakeland Community College,1,0,0,0,0,0,,,,,
,,Miami University,1,0,0,0,0,0,,,,,
,,"Ohio State University, Columbus",1,1,0,0,0,0,,,,,
,Metropolitan Counties,,16,10,4,0,0,0,,,,,
,,Butler,3,0,1,0,0,0,,,,,
,,Fairfield,1,0,0,0,0,0,,,,,
,,Greene,6,4,0,0,0,0,,,,,
,,Lawrence,0,0,1,0,0,0,,,,,
,,Lorain,1,0,0,0,0,0,,,,,
,,Lucas,1,0,0,0,0,0,,,,,
,,Montgomery,1,2,1,0,0,0,,,,,
,,Stark,2,4,1,0,0,0,,,,,
,,Warren,1,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,8,0,1,1,0,0,,,,,
,,Ashland,1,0,0,0,0,0,,,,,
,,Ashtabula,1,0,0,0,0,0,,,,,
,,Athens,1,0,0,0,0,0,,,,,
,,Gallia,0,0,1,0,0,0,,,,,
,,Marion,0,0,0,1,0,0,,,,,
,,Preble,1,0,0,0,0,0,,,,,
,,Ross,1,0,0,0,0,0,,,,,
,,Scioto,1,0,0,0,0,0,,,,,
,,Shelby,1,0,0,0,0,0,,,,,
,,Washington,1,0,0,0,0,0,,,,,
,State Police Agencies,,2,0,1,0,0,0,,,,,
,,Ohio State Highway Patrol,2,0,1,0,0,0,,,,,
,Other Agencies,,2,0,0,0,0,0,,,,,
,,Cleveland Metropolitan Park District,1,0,0,0,0,0,,,,,
,,Hamilton County Park District,1,0,0,0,0,0,,,,,
Oklahoma,Total,,27,3,7,0,0,0,,,,,
,Cities,,19,3,6,0,0,0,,,,,
,,Apache,1,0,0,0,0,0,,,,,
,,Broken Bow,1,0,0,0,0,0,,,,,
,,Catoosa,1,0,0,0,0,0,,,,,
,,Chickasha,2,0,1,0,0,0,,,,,
,,Choctaw,0,1,0,0,0,0,,,,,
,,Edmond,0,1,0,0,0,0,,,,,
,,Elk City,1,0,0,0,0,0,,,,,
,,Enid,2,0,0,0,0,0,,,,,
,,Guymon,0,1,0,0,0,0,,,,,
,,Jenks,0,0,1,0,0,0,,,,,
,,Lawton,1,0,0,0,0,0,,,,,
,,McAlester,0,0,1,0,0,0,,,,,
,,Muskogee,3,0,0,0,0,0,,,,,
,,Norman,1,0,0,0,0,0,,,,,
,,Oklahoma City,1,0,2,0,0,0,,,,,
,,Purcell,1,0,0,0,0,0,,,,,
,,Sallisaw,1,0,0,0,0,0,,,,,
,,Sayre,1,0,0,0,0,0,,,,,
,,Stigler,0,0,1,0,0,0,,,,,
,,Stilwell,1,0,0,0,0,0,,,,,
,,Woodward,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,3,0,1,0,0,0,,,,,
,,Lincoln,1,0,0,0,0,0,,,,,
,,Tulsa,1,0,1,0,0,0,,,,,
,,Wagoner,1,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,5,0,0,0,0,0,,,,,
,,Carter,1,0,0,0,0,0,,,,,
,,Craig,1,0,0,0,0,0,,,,,
,,Hughes,1,0,0,0,0,0,,,,,
,,Kiowa,1,0,0,0,0,0,,,,,
,,Payne,1,0,0,0,0,0,,,,,
Oregon,Total,,41,9,11,5,0,0,,,,,
,Cities,,34,9,9,4,0,0,,,,,
,,Ashland,0,1,1,0,0,0,,,,,
,,Corvallis,2,1,0,1,0,0,,,,,
,,Eugene3,25,6,7,2,0,0,,,,,
,,Hood River,1,0,0,0,0,0,,,,,
,,La Grande,0,0,0,1,0,0,,,,,
,,Salem,4,1,1,0,0,0,,,,,
,,Springfield,1,0,0,0,0,0,,,,,
,,Sutherlin,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,1,0,1,0,0,0,,,,,
,,Deschutes,1,0,0,0,0,0,,,,,
,,Jackson,0,0,1,0,0,0,,,,,
,Nonmetropolitan Counties,,2,0,0,1,0,0,,,,,
,,Hood River,1,0,0,0,0,0,,,,,
,,Lincoln,0,0,0,1,0,0,,,,,
,,Umatilla,1,0,0,0,0,0,,,,,
,State Police Agencies,,4,0,1,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,Benton County,1,0,1,0,0,0,,,,,
,,Marion County,1,0,0,0,0,0,,,,,
,,Tillamook County,2,0,0,0,0,0,,,,,
Pennsylvania,Total,,40,12,11,0,0,1,,,,,
,Cities,,27,7,10,0,0,1,,,,,
,,Brighton Township,1,0,0,0,0,0,,,,,
,,Columbia,1,0,0,0,0,0,,,,,
,,Economy,1,0,0,0,0,0,,,,,
,,Lancaster,1,0,1,0,0,0,,,,,
,,New Cumberland,1,0,0,0,0,0,,,,,
,,New Garden Township,0,0,1,0,0,0,,,,,
,,Philadelphia,6,5,3,0,0,0,,,,,
,,Pittsburgh,11,0,3,0,0,0,,,,,
,,Reading,1,0,0,0,0,1,,,,,
,,Scranton,1,1,0,0,0,0,,,,,
,,State College,2,0,1,0,0,0,,,,,
,,Throop,1,0,0,0,0,0,,,,,
,,"Washington Township, Franklin County",0,1,1,0,0,0,,,,,
,Universities and Colleges,,4,5,1,0,0,0,,,,,
,,Elizabethtown College,1,0,0,0,0,0,,,,,
,,Lehigh University,0,0,1,0,0,0,,,,,
,,"Pennsylvania State University, University Park",2,1,0,0,0,0,,,,,
,,University of Pittsburgh:,,,,,,,,,,,
,,Johnstown,0,4,0,0,0,0,,,,,
,,Pittsburgh,1,0,0,0,0,0,,,,,
,State Police Agencies,,7,0,0,0,0,0,,,,,
,,State Police: ,,,,,,,,,,,
,,Elizabethville,2,0,0,0,0,0,,,,,
,,Fulton County,1,0,0,0,0,0,,,,,
,,Juniata County,1,0,0,0,0,0,,,,,
,,Monroe County,1,0,0,0,0,0,,,,,
,,Skippack County,1,0,0,0,0,0,,,,,
,,Washington County,1,0,0,0,0,0,,,,,
,Other Agencies,,2,0,0,0,0,0,,,,,
,,Allegheny County Port Authority,1,0,0,0,0,0,,,,,
,,Delaware County Park,1,0,0,0,0,0,,,,,
Rhode Island,Total,,6,7,5,0,0,0,,,,,
,Cities,,5,7,5,0,0,0,,,,,
,,East Providence,0,0,1,0,0,0,,,,,
,,Newport,0,0,1,0,0,0,,,,,
,,Pawtucket,0,1,0,0,0,0,,,,,
,,Providence,4,4,3,0,0,0,,,,,
,,Richmond,1,0,0,0,0,0,,,,,
,,West Warwick,0,1,0,0,0,0,,,,,
,,Woonsocket,0,1,0,0,0,0,,,,,
,Universities and Colleges,,1,0,0,0,0,0,,,,,
,,University of Rhode Island,1,0,0,0,0,0,,,,,
South Carolina,Total,,44,2,7,2,0,0,,,,,
,Cities,,27,0,5,0,0,0,,,,,
,,Belton,2,0,0,0,0,0,,,,,
,,Blacksburg,1,0,0,0,0,0,,,,,
,,Cayce,2,0,0,0,0,0,,,,,
,,Charleston,3,0,1,0,0,0,,,,,
,,Cheraw,1,0,0,0,0,0,,,,,
,,Chester,1,0,0,0,0,0,,,,,
,,Columbia,1,0,0,0,0,0,,,,,
,,Darlington,0,0,1,0,0,0,,,,,
,,Easley,1,0,0,0,0,0,,,,,
,,Elgin,2,0,0,0,0,0,,,,,
,,Georgetown,0,0,1,0,0,0,,,,,
,,Greenville,1,0,0,0,0,0,,,,,
,,Hemingway,1,0,0,0,0,0,,,,,
,,Honea Path,2,0,0,0,0,0,,,,,
,,Mauldin,1,0,0,0,0,0,,,,,
,,Mount Pleasant,1,0,0,0,0,0,,,,,
,,Myrtle Beach,1,0,0,0,0,0,,,,,
,,North Charleston,0,0,1,0,0,0,,,,,
,,North Myrtle Beach,1,0,0,0,0,0,,,,,
,,Orangeburg,1,0,0,0,0,0,,,,,
,,Saluda,0,0,1,0,0,0,,,,,
,,Santee,1,0,0,0,0,0,,,,,
,,Summerville,2,0,0,0,0,0,,,,,
,,Surfside Beach,1,0,0,0,0,0,,,,,
,Universities and Colleges,,2,0,0,1,0,0,,,,,
,,Trident Technical College,0,0,0,1,0,0,,,,,
,,University of South Carolina:,,,,,,,,,,,
,,Columbia,1,0,0,0,0,0,,,,,
,,Upstate,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,10,1,1,0,0,0,,,,,
,,Berkeley,1,0,0,0,0,0,,,,,
,,Charleston,1,0,0,0,0,0,,,,,
,,Greenville,1,0,0,0,0,0,,,,,
,,Horry County Police Department,4,1,0,0,0,0,,,,,
,,Lexington,1,0,0,0,0,0,,,,,
,,Richland,0,0,1,0,0,0,,,,,
,,Sumter,1,0,0,0,0,0,,,,,
,,Union,1,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,4,0,1,1,0,0,,,,,
,,Cherokee,0,0,0,1,0,0,,,,,
,,Colleton,1,0,1,0,0,0,,,,,
,,Georgetown,2,0,0,0,0,0,,,,,
,,Hampton,1,0,0,0,0,0,,,,,
,Other Agencies,,1,1,0,0,0,0,,,,,
,,"United States Department of Energy, Savannah River Plant",1,1,0,0,0,0,,,,,
South Dakota,Total,,9,2,5,0,0,0,,,,,
,Cities,,8,2,5,0,0,0,,,,,
,,Aberdeen,1,0,0,0,0,0,,,,,
,,Beresford,2,0,0,0,0,0,,,,,
,,Brookings,2,1,0,0,0,0,,,,,
,,Gettysburg,1,0,1,0,0,0,,,,,
,,Rapid City,0,1,1,0,0,0,,,,,
,,Spearfish,1,0,0,0,0,0,,,,,
,,Sturgis,0,0,3,0,0,0,,,,,
,,Vermillion,1,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
,,Brown,1,0,0,0,0,0,,,,,
Tennessee,Total,,157,28,26,5,1,4,,,,,
,Cities,,83,17,22,5,1,1,,,,,
,,Atoka,8,0,0,1,0,0,,,,,
,,Chapel Hill,0,0,0,1,0,0,,,,,
,,Chattanooga,10,6,0,0,0,0,,,,,
,,Clarksville,10,3,2,1,0,0,,,,,
,,Cleveland,4,0,0,0,0,0,,,,,
,,Cookeville,0,1,0,0,0,0,,,,,
,,Cowan,0,0,0,1,0,0,,,,,
,,Crossville,1,0,1,0,0,0,,,,,
,,Dover,1,0,0,0,0,0,,,,,
,,Dunlap,1,0,0,0,0,0,,,,,
,,Dyersburg,2,0,0,0,0,0,,,,,
,,Elizabethton,4,0,0,0,0,0,,,,,
,,Fairview,2,0,0,0,0,0,,,,,
,,Germantown,0,0,0,0,1,0,,,,,
,,Greeneville,5,0,0,0,0,0,,,,,
,,Harriman,0,0,1,0,0,0,,,,,
,,Huntland,1,0,0,0,0,0,,,,,
,,Johnson City,1,0,0,0,0,0,,,,,
,,Jonesborough,1,0,0,0,0,0,,,,,
,,Kingsport,1,0,0,0,0,0,,,,,
,,Knoxville,2,1,0,0,0,0,,,,,
,,Lafayette,2,0,0,0,0,0,,,,,
,,Lawrenceburg,0,0,1,0,0,0,,,,,
,,Lebanon,1,0,0,0,0,0,,,,,
,,Manchester,0,1,0,0,0,0,,,,,
,,Mason,1,0,0,0,0,0,,,,,
,,McMinnville,2,0,0,0,0,0,,,,,
,,Memphis,7,1,8,0,0,1,,,,,
,,Millington,3,0,0,0,0,0,,,,,
,,Moscow,1,0,0,1,0,0,,,,,
,,Munford,2,0,0,0,0,0,,,,,
,,Nashville Metropolitan,7,2,6,0,0,0,,,,,
,,Niota,0,1,0,0,0,0,,,,,
,,Portland,0,1,0,0,0,0,,,,,
,,Rockwood,1,0,0,0,0,0,,,,,
,,Savannah,1,0,0,0,0,0,,,,,
,,Smithville,0,0,2,0,0,0,,,,,
,,Winchester,1,0,1,0,0,0,,,,,
