state,total,place,race,religion,sexual_orientation,ethnicity,disability,,,,,
,,Cortland,0,0,1,0,0,,,,,
,,Crawford Town,0,3,0,0,0,,,,,
,,Croton-on-Hudson Village,0,4,1,0,0,,,,,
,,East Hampton Town,0,0,0,1,0,,,,,
,,East Rochester Village,1,0,0,0,0,,,,,
,,Glens Falls,0,1,0,0,0,,,,,
,,Gloversville,1,0,0,0,0,,,,,
,,Greenburgh Town,1,0,0,0,0,,,,,
,,Hempstead Village,1,0,0,0,0,,,,,
,,Hudson Falls Village,1,0,0,0,0,,,,,
,,Ithaca,1,0,2,0,0,,,,,
,,Lackawanna,1,0,0,0,0,,,,,
,,Lowville Village,0,0,0,1,0,,,,,
,,Manlius Town,0,0,0,1,0,,,,,
,,Mechanicville,1,0,0,0,0,,,,,
,,Monroe Village,0,2,0,0,0,,,,,
,,Mount Vernon,0,0,2,1,0,,,,,
,,New Rochelle,1,1,0,0,0,,,,,
,,New York,45,260,53,14,0,,,,,
,,Niagara Falls,1,0,0,0,0,,,,,
,,Nissequogue Village,0,1,0,0,0,,,,,
,,Orangetown Town,1,0,0,0,0,,,,,
,,Peekskill,0,0,2,0,0,,,,,
,,Poughkeepsie,1,0,0,0,0,,,,,
,,Poughkeepsie Town,3,0,0,0,0,,,,,
,,Ramapo Town,0,1,0,0,0,,,,,
,,Rochester,1,0,0,0,0,,,,,
,,Saranac Lake Village,1,0,0,0,0,,,,,
,,Southold Town,1,0,1,0,0,,,,,
,,Tarrytown Village,0,0,1,0,0,,,,,
,,Tonawanda Town,1,0,0,0,0,,,,,
,,Tuckahoe Village,0,0,0,1,0,,,,,
,,Tupper Lake Village,1,0,0,0,0,,,,,
,,Utica,0,0,1,1,0,,,,,
,,Watervliet,0,0,0,1,0,,,,,
,,West Seneca Town,2,0,0,0,0,,,,,
,,Whitehall Village,1,0,0,0,0,,,,,
,,White Plains,0,0,1,0,0,,,,,
,,Yonkers,1,1,1,0,0,,,,,
,University and Colleges,,9,7,4,1,0,,,,,
,,Cornell University,1,1,1,0,0,,,,,
,,Morrisville State College,3,4,0,0,0,,,,,
,,State University of New York:,,,,,,,,,,
,,Buffalo,0,0,2,0,0,,,,,
,,Stony Brook,1,1,0,0,0,,,,,
,,State University of New York College:,,,,,,,,,,
,,Buffalo,1,1,0,0,0,,,,,
,,Oswego,0,0,1,0,0,,,,,
,,Plattsburgh,1,0,0,0,0,,,,,
,,State University of New York College of Agriculture and Technology at Cobleskill,2,0,0,1,0,,,,,
,Metropolitan Counties,,44,112,12,18,0,,,,,
,,Broome,1,0,0,0,0,,,,,
,,Dutchess,1,1,0,0,0,,,,,
,,Monroe,0,4,0,0,0,,,,,
,,Nassau,13,41,2,4,0,,,,,
,,Niagara,1,0,1,0,0,,,,,
,,Putnam,0,1,0,1,0,,,,,
,,Rensselaer,1,0,0,0,0,,,,,
,,Saratoga,0,1,0,1,0,,,,,
,,Suffolk County Police Department,26,64,9,12,0,,,,,
,,Westchester Public Safety,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,2,0,1,0,0,,,,,
,,Cattaraugus,1,0,0,0,0,,,,,
,,Chenango,1,0,0,0,0,,,,,
,,Seneca,0,0,1,0,0,,,,,
,State Police Agencies,,3,2,0,0,0,,,,,
,,State Police:,,,,,,,,,,
,,Dutchess County,1,2,0,0,0,,,,,
,,Jefferson County,1,0,0,0,0,,,,,
,,Otsego County,1,0,0,0,0,,,,,
,Other Agencies,,8,7,0,0,0,,,,,
,,New York City Metropolitan Transportation Authority,8,7,0,0,0,,,,,
North Carolina,Total,,66,19,24,10,0,,,,,
,Cities,,46,16,17,7,0,,,,,
,,Asheville,4,1,3,0,0,,,,,
,,Carolina Beach,0,0,0,1,0,,,,,
,,Carthage,0,1,0,0,0,,,,,
,,Chapel Hill,1,1,2,0,0,,,,,
,,Charlotte-Mecklenburg,7,1,2,4,0,,,,,
,,Durham,2,1,2,0,0,,,,,
,,Elizabeth City,1,0,0,0,0,,,,,
,,Fayetteville,4,3,1,0,0,,,,,
,,Gastonia,0,1,0,0,0,,,,,
,,Greensboro,0,1,1,0,0,,,,,
,,Hickory,2,0,1,0,0,,,,,
,,High Point,3,0,1,0,0,,,,,
,,Hope Mills,1,0,0,0,0,,,,,
,,King,3,2,0,0,0,,,,,
,,Morganton,0,0,2,1,0,,,,,
,,New Bern,0,0,1,0,0,,,,,
,,Reidsville,1,0,0,0,0,,,,,
,,Roanoke Rapids,0,0,0,1,0,,,,,
,,Rocky Mount,1,0,0,0,0,,,,,
,,Roxboro,2,0,0,0,0,,,,,
,,Salisbury,3,1,0,0,0,,,,,
,,Smithfield,1,0,0,0,0,,,,,
,,Statesville,0,0,1,0,0,,,,,
,,Stoneville,2,0,0,0,0,,,,,
,,Thomasville,1,1,0,0,0,,,,,
,,Wilmington,4,2,0,0,0,,,,,
,,Winston-Salem,1,0,0,0,0,,,,,
,,Wrightsville Beach,1,0,0,0,0,,,,,
,,Zebulon,1,0,0,0,0,,,,,
,Universities and Colleges,,2,0,1,0,0,,,,,
,,North Carolina School of the Arts,1,0,1,0,0,,,,,
,,"North Carolina State University, Raleigh",1,0,0,0,0,,,,,
,Metropolitan Counties,,17,2,5,3,0,,,,,
,,Buncombe,3,1,0,1,0,,,,,
,,Cabarrus,0,1,0,0,0,,,,,
,,Caldwell,3,0,0,0,0,,,,,
,,Forsyth,0,0,1,0,0,,,,,
,,Franklin,1,0,3,2,0,,,,,
,,Gaston County Police Department,1,0,0,0,0,,,,,
,,Haywood,1,0,0,0,0,,,,,
,,Lincoln,1,0,0,0,0,,,,,
,,New Hanover,3,0,1,0,0,,,,,
,,Pitt,2,0,0,0,0,,,,,
,,Rockingham,2,0,0,0,0,,,,,
,Nonmetropolitan Counties,,1,1,1,0,0,,,,,
,,Harnett,1,0,0,0,0,,,,,
,,Rutherford,0,1,1,0,0,,,,,
North Dakota,Total,,21,1,9,10,0,,,,,
,Cities,,17,1,7,9,0,,,,,
,,Beulah,1,0,0,0,0,,,,,
,,Bismarck,5,0,1,3,0,,,,,
,,Devils Lake,1,0,0,0,0,,,,,
,,Fargo3,6,0,3,6,0,,,,,
,,Lisbon,0,1,0,0,0,,,,,
,,Mandan,1,0,0,0,0,,,,,
,,Watford City,0,0,1,0,0,,,,,
,,West Fargo,3,0,2,0,0,,,,,
,Metropolitan Counties,,2,0,0,0,0,,,,,
,,Morton,2,0,0,0,0,,,,,
,Nonmetropolitan Counties,,2,0,2,1,0,,,,,
,,Sargent,0,0,0,1,0,,,,,
,,Slope,1,0,0,0,0,,,,,
,,Steele,0,0,1,0,0,,,,,
,,Walsh,0,0,1,0,0,,,,,
,,Williams,1,0,0,0,0,,,,,
Ohio,Total,,129,27,63,29,9,,,,,
,Cities,,108,25,55,26,2,,,,,
,,Akron,5,0,0,2,0,,,,,
,,Athens,0,0,1,0,0,,,,,
,,Austintown,4,1,0,2,0,,,,,
,,"Bath Township, Summit County",0,0,1,0,0,,,,,
,,Beavercreek,1,0,0,0,0,,,,,
,,Bexley,1,0,1,0,0,,,,,
,,Blue Ash,0,0,0,1,0,,,,,
,,Boardman,0,0,1,0,0,,,,,
,,Bowling Green,3,0,0,0,0,,,,,
,,Canfield,1,0,0,0,0,,,,,
,,Cardington,1,0,0,0,0,,,,,
,,Centerville,4,8,0,0,0,,,,,
,,Cincinnati,5,1,5,0,0,,,,,
,,Circleville,1,0,0,0,0,,,,,
,,Clearcreek Township,0,0,0,1,0,,,,,
,,Cleveland,5,1,3,0,0,,,,,
,,Columbus,19,4,14,7,0,,,,,
,,Commercial Point,0,0,1,0,0,,,,,
,,Dayton,1,0,0,0,0,,,,,
,,Defiance,2,0,2,0,0,,,,,
,,Delaware,2,0,0,0,0,,,,,
,,East Liverpool,0,0,2,0,0,,,,,
,,Eaton,1,0,0,1,0,,,,,
,,Englewood,0,0,1,0,0,,,,,
,,Gahanna,1,0,0,0,0,,,,,
,,Genoa Township,0,1,0,0,0,,,,,
,,Girard,0,0,0,1,0,,,,,
,,Greenhills,2,0,0,0,0,,,,,
,,Grove City,0,1,1,0,0,,,,,
,,Groveport,0,0,1,0,0,,,,,
,,Hamilton,1,0,0,0,0,,,,,
,,"Hamilton Township, Warren County",1,0,0,0,0,,,,,
,,Heath,0,0,1,1,0,,,,,
,,Highland Heights,0,1,0,0,0,,,,,
,,Hubbard,1,0,0,0,0,,,,,
,,"Jackson Township, Stark County",1,0,0,1,0,,,,,
,,Lakewood,0,0,1,0,0,,,,,
,,Liberty Township,1,0,0,0,0,,,,,
,,Lorain,6,1,1,1,1,,,,,
,,Mansfield,2,0,1,1,0,,,,,
,,Marietta,0,0,1,0,0,,,,,
,,Marion,1,0,0,0,0,,,,,
,,Mason,0,1,1,0,0,,,,,
,,Massillon,0,0,2,0,0,,,,,
,,McArthur,1,0,0,0,0,,,,,
,,Miamisburg,0,0,1,0,0,,,,,
,,Monroe,1,0,0,0,0,,,,,
,,Montpelier,0,0,0,1,0,,,,,
,,Moraine3,1,0,1,1,0,,,,,
,,Mount Vernon,5,0,1,0,0,,,,,
,,New Albany,0,1,0,0,0,,,,,
,,North Canton,0,2,0,0,0,,,,,
,,Norton,1,0,0,0,0,,,,,
,,Norwalk,0,0,1,0,0,,,,,
,,Oregon,0,0,0,1,0,,,,,
,,"Perry Township, Stark County",2,0,0,0,0,,,,,
,,Port Clinton,0,0,0,1,0,,,,,
,,Portsmouth,2,0,2,0,0,,,,,
,,Powhatan Point,1,0,0,0,0,,,,,
,,Salem,0,0,1,0,1,,,,,
,,Salineville,1,0,0,0,0,,,,,
,,Springboro,0,0,0,1,0,,,,,
,,Springfield,3,0,2,0,0,,,,,
,,"Springfield Township, Hamilton County",1,0,0,0,0,,,,,
,,Stow,1,0,0,0,0,,,,,
,,Toronto,1,0,0,0,0,,,,,
,,Trotwood,2,0,2,0,0,,,,,
,,Urbana,0,0,0,1,0,,,,,
,,Van Wert,1,0,0,1,0,,,,,
,,Wadsworth,1,0,0,0,0,,,,,
,,Warren,4,0,0,0,0,,,,,
,,West Chester Township,0,0,1,0,0,,,,,
,,Whitehall,1,0,0,0,0,,,,,
,,Wooster,1,0,0,0,0,,,,,
,,Worthington,0,2,0,0,0,,,,,
,,Xenia,1,0,0,0,0,,,,,
,,Youngstown,2,0,0,0,0,,,,,
,,Zanesville,1,0,1,0,0,,,,,
,Universities and Colleges,,2,0,2,0,0,,,,,
,,Capital University,1,0,0,0,0,,,,,
,,Miami University,0,0,1,0,0,,,,,
,,"Ohio State University, Columbus",1,0,0,0,0,,,,,
,,University of Toledo,0,0,1,0,0,,,,,
,Metropolitan Counties,,16,2,3,3,1,,,,,
,,Butler,1,1,1,0,1,,,,,
,,Delaware,0,0,0,1,0,,,,,
,,Franklin,1,0,0,0,0,,,,,
,,Fulton,1,1,0,0,0,,,,,
,,Greene,3,0,1,0,0,,,,,
,,Lucas,0,0,0,1,0,,,,,
,,Mahoning,1,0,0,0,0,,,,,
,,Miami,1,0,0,0,0,,,,,
,,Montgomery,4,0,0,0,0,,,,,
,,Morrow,1,0,0,0,0,,,,,
,,Richland,1,0,1,0,0,,,,,
,,Stark,1,0,0,1,0,,,,,
,,Summit,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,3,0,3,0,6,,,,,
,,Ashtabula,1,0,0,0,1,,,,,
,,Athens,0,0,1,0,1,,,,,
,,Defiance,0,0,1,0,0,,,,,
,,Henry,1,0,0,0,0,,,,,
,,Marion,0,0,0,0,2,,,,,
,,Monroe,1,0,0,0,0,,,,,
,,Seneca,0,0,0,0,2,,,,,
,,Washington,0,0,1,0,0,,,,,
,Other Agencies,,1,0,0,0,0,,,,,
,,Cleveland Metropolitan Park District,1,0,0,0,0,,,,,
Oklahoma,Total,,13,2,2,3,1,,,,,
,Cities,,8,1,0,3,1,,,,,
,,Bristow,1,0,0,0,0,,,,,
,,Eufaula,0,0,0,0,1,,,,,
,,Guthrie,1,0,0,0,0,,,,,
,,Hartshorne,1,0,0,0,0,,,,,
,,Hominy,0,1,0,0,0,,,,,
,,Luther,1,0,0,0,0,,,,,
,,Mangum,1,0,0,0,0,,,,,
,,Miami,1,0,0,0,0,,,,,
,,Pauls Valley,1,0,0,0,0,,,,,
,,Purcell,0,0,0,1,0,,,,,
,,Sallisaw,1,0,0,0,0,,,,,
,,Sapulpa,0,0,0,1,0,,,,,
,,Verdigris,0,0,0,1,0,,,,,
,Metropolitan Counties,,0,1,1,0,0,,,,,
,,Tulsa,0,1,1,0,0,,,,,
,Nonmetropolitan Counties,,5,0,1,0,0,,,,,
,,Ellis,1,0,0,0,0,,,,,
,,Garfield,0,0,1,0,0,,,,,
,,Latimer,2,0,0,0,0,,,,,
,,Woodward,2,0,0,0,0,,,,,
Oregon,Total,,18,10,9,10,5,,,,,
,Cities,,17,9,8,6,4,,,,,
,,Ashland,1,0,0,0,0,,,,,
,,Beaverton,2,0,0,1,1,,,,,
,,Bend,0,1,1,2,2,,,,,
,,Boardman,1,0,0,0,0,,,,,
,,Corvallis,0,1,0,0,0,,,,,
,,Keizer,0,1,0,0,0,,,,,
,,Lebanon,0,1,0,0,0,,,,,
,,Lincoln City,0,1,0,0,0,,,,,
,,Newport,1,1,1,0,0,,,,,
,,Pendleton,0,0,1,0,0,,,,,
,,Portland,3,1,2,0,1,,,,,
,,Roseburg,0,1,0,0,0,,,,,
,,Salem,2,0,1,1,0,,,,,
,,Springfield,5,1,0,0,0,,,,,
,,Stayton,1,0,0,0,0,,,,,
,,Sutherlin,0,0,1,0,0,,,,,
,,Tigard,0,0,1,1,0,,,,,
,,Tillamook,0,0,0,1,0,,,,,
,,Toledo,1,0,0,0,0,,,,,
,Metropolitan Counties,,0,0,1,2,1,,,,,
,,Benton,0,0,0,2,1,,,,,
,,Deschutes,0,0,1,0,0,,,,,
,Nonmetropolitan Counties,,1,1,0,2,0,,,,,
,,Douglas,1,1,0,0,0,,,,,
,,Lincoln,0,0,0,1,0,,,,,
,,Umatilla,0,0,0,1,0,,,,,
Pennsylvania,Total,,26,7,4,1,0,,,,,
,Cities,,22,5,4,1,0,,,,,
,,"Abington Township, Montgomery County",2,0,0,0,0,,,,,
,,Avoca,2,0,0,0,0,,,,,
,,Carlisle,1,0,0,0,0,,,,,
,,Harrisburg,0,0,1,0,0,,,,,
,,Lancaster,1,2,0,0,0,,,,,
,,Philadelphia,8,1,2,0,0,,,,,
,,Pittsburgh,2,0,0,1,0,,,,,
,,Reading,3,0,0,0,0,,,,,
,,Roseto,0,1,0,0,0,,,,,
,,Ross Township,1,0,0,0,0,,,,,
,,Selinsgrove,0,1,0,0,0,,,,,
,,State College,1,0,0,0,0,,,,,
,,Throop,0,0,1,0,0,,,,,
,,Tunkhannock,1,0,0,0,0,,,,,
,Universities and Colleges,,2,0,0,0,0,,,,,
,,Moravian College,1,0,0,0,0,,,,,
,,Shippensburg University,1,0,0,0,0,,,,,
,State Police Agencies,,2,2,0,0,0,,,,,
,,State Police:,,,,,,,,,,
,,Chester County,1,0,0,0,0,,,,,
,,Erie County,1,0,0,0,0,,,,,
,,Lehigh County,0,1,0,0,0,,,,,
,,Wayne County,0,1,0,0,0,,,,,
Rhode Island,Total,,4,2,5,1,0,,,,,
,Cities,,4,2,5,1,0,,,,,
,,Barrington,1,0,0,0,0,,,,,
,,Newport,1,0,0,0,0,,,,,
,,Pawtucket,0,0,2,1,0,,,,,
,,Providence,2,1,1,0,0,,,,,
,,South Kingstown,0,0,1,0,0,,,,,
,,Warwick,0,1,0,0,0,,,,,
,,West Warwick,0,0,1,0,0,,,,,
South Carolina,Total,,69,41,26,8,4,,,,,
,Cities,,39,19,19,3,0,,,,,
,,Anderson,7,0,0,0,0,,,,,
,,Atlantic Beach,1,0,0,0,0,,,,,
,,Beaufort,0,0,1,0,0,,,,,
,,Bennettsville,0,0,1,0,0,,,,,
,,Blacksburg,1,0,0,0,0,,,,,
,,Bluffton,1,0,0,0,0,,,,,
,,Camden,0,0,1,0,0,,,,,
,,Charleston,1,0,0,0,0,,,,,
,,Cheraw,0,1,0,0,0,,,,,
,,Clinton,0,0,1,0,0,,,,,
,,Clover,1,0,0,0,0,,,,,
,,Columbia,2,2,1,0,0,,,,,
,,Darlington,1,0,1,0,0,,,,,
,,Elgin,1,0,0,0,0,,,,,
,,Florence,1,0,0,0,0,,,,,
,,Folly Beach,1,0,0,0,0,,,,,
,,Forest Acres,1,1,0,0,0,,,,,
,,Fort Mill,0,1,0,0,0,,,,,
,,Goose Creek,0,0,0,1,0,,,,,
,,Holly Hill,1,0,0,0,0,,,,,
,,Irmo,0,0,1,0,0,,,,,
,,Kingstree,1,0,0,0,0,,,,,
,,Lamar,0,1,0,0,0,,,,,
,,Latta,0,0,1,0,0,,,,,
,,Lexington,1,0,0,0,0,,,,,
,,Moncks Corner,2,0,0,0,0,,,,,
,,Mount Pleasant,0,0,2,0,0,,,,,
,,Mullins,1,0,0,1,0,,,,,
,,Myrtle Beach,0,0,1,0,0,,,,,
,,Pageland,1,0,0,0,0,,,,,
,,Rock Hill,2,0,1,0,0,,,,,
,,Seneca,1,0,0,0,0,,,,,
,,Simpsonville,1,0,2,0,0,,,,,
,,Spartanburg,0,0,1,0,0,,,,,
,,Summerville,3,0,0,0,0,,,,,
,,Tega Cay,0,0,1,0,0,,,,,
,,Walterboro,0,5,3,1,0,,,,,
,,Ware Shoals,3,0,0,0,0,,,,,
,,West Columbia,1,0,0,0,0,,,,,
,,Williamston,1,0,0,0,0,,,,,
,,Winnsboro,0,8,0,0,0,,,,,
,,York,1,0,0,0,0,,,,,
,Universities and Colleges,,1,0,1,0,0,,,,,
,,The Citadel,1,0,0,0,0,,,,,
,,"University of South Carolina, Upstate",0,0,1,0,0,,,,,
,Metropolitan Counties,,11,4,6,5,3,,,,,
,,Anderson,0,1,0,1,0,,,,,
,,Berkeley,0,0,0,1,1,,,,,
,,Fairfield,0,0,0,1,0,,,,,
,,Greenville,0,0,1,1,0,,,,,
,,Horry County Police Department,1,1,1,0,0,,,,,
,,Lancaster,1,0,1,0,0,,,,,
,,Lexington,2,0,0,0,1,,,,,
,,Pickens,3,0,0,0,0,,,,,
,,Richland,1,0,1,0,1,,,,,
,,Saluda,0,0,0,1,0,,,,,
,,Spartanburg,2,2,1,0,0,,,,,
,,Sumter,1,0,1,0,0,,,,,
,Nonmetropolitan Counties,,15,18,0,0,1,,,,,
,,Abbeville,2,15,0,0,0,,,,,
,,Clarendon,2,0,0,0,0,,,,,
,,Colleton,2,2,0,0,0,,,,,
,,Georgetown,1,1,0,0,0,,,,,
,,Greenwood,1,0,0,0,0,,,,,
,,Hampton,3,0,0,0,0,,,,,
,,Lee,2,0,0,0,1,,,,,
,,Marion,1,0,0,0,0,,,,,
,,Marlboro,1,0,0,0,0,,,,,
,State Police Agencies,,2,0,0,0,0,,,,,
,,Highway Patrol:,,,,,,,,,,
,,Florence County,1,0,0,0,0,,,,,
,,Greenwood County,1,0,0,0,0,,,,,
,Other Agencies,,1,0,0,0,0,,,,,
,,Lexington County Medical Center,1,0,0,0,0,,,,,
South Dakota,Total,,20,4,3,2,0,,,,,
,Cities,,19,4,3,2,0,,,,,
,,Martin,1,0,1,0,0,,,,,
,,Rapid City,6,0,0,0,0,,,,,
,,Sioux Falls,8,4,2,1,0,,,,,
,,Sturgis,0,0,0,1,0,,,,,
,,Tea,1,0,0,0,0,,,,,
,,Watertown,3,0,0,0,0,,,,,
,Metropolitan Counties,,1,0,0,0,0,,,,,
,,Minnehaha,1,0,0,0,0,,,,,
Tennessee,Total,,183,20,55,36,22,,,,,
,Cities,,127,17,48,20,17,,,,,
,,Alcoa,0,0,1,0,0,,,,,
,,Ardmore,1,0,0,0,0,,,,,
,,Atoka,0,0,0,1,0,,,,,
,,Baxter,1,0,0,0,1,,,,,
,,Bells,0,0,0,0,1,,,,,
,,Bluff City,0,0,0,1,0,,,,,
,,Brighton,1,0,0,0,0,,,,,
,,Chapel Hill,0,0,0,0,1,,,,,
,,Chattanooga,8,6,2,1,3,,,,,
,,Clarksville,3,1,1,0,1,,,,,
,,Cleveland,1,0,1,0,0,,,,,
,,Columbia,0,0,1,0,0,,,,,
,,Dyersburg,5,0,2,0,0,,,,,
,,Elkton,1,0,0,1,0,,,,,
,,Franklin,1,0,0,0,0,,,,,
,,Goodlettsville,0,2,0,0,0,,,,,
,,Hendersonville,1,0,0,0,0,,,,,
,,Jackson,0,0,1,0,0,,,,,
,,Jamestown,29,0,1,0,0,,,,,
,,Johnson City3,4,0,3,0,0,,,,,
,,Kingsport,2,0,1,0,1,,,,,
,,Knoxville,13,1,3,6,2,,,,,
,,La Follette,0,0,0,1,0,,,,,
,,Lexington,1,0,0,0,0,,,,,
,,Lebanon,0,0,1,0,0,,,,,
,,Lenoir City,1,0,1,0,0,,,,,
,,Lookout Mountain,0,0,1,0,0,,,,,
,,Mason,0,0,0,1,0,,,,,
,,Memphis,27,4,21,5,4,,,,,
,,Milan,1,1,0,0,0,,,,,
,,Millington,0,0,0,0,2,,,,,
,,Morristown,0,0,0,1,0,,,,,
,,Murfreesboro,1,0,1,0,0,,,,,
,,Nashville,7,1,1,1,0,,,,,
,,Pigeon Forge,0,0,1,0,0,,,,,
,,Pikeville,9,0,0,0,0,,,,,
,,Red Bank,1,1,0,0,0,,,,,
,,Sevierville,1,0,0,1,0,,,,,
,,Sharon,1,0,0,0,0,,,,,
,,Smyrna,1,0,0,0,0,,,,,
,,Soddy-Daisy,0,0,1,0,0,,,,,
,,South Carthage,0,0,1,0,0,,,,,
,,Spring Hill,2,0,1,0,1,,,,,
,,Union City,0,0,1,0,0,,,,,
,,White House,2,0,0,0,0,,,,,
,,Winchester,1,0,0,0,0,,,,,
,Universities and Colleges,,4,0,0,1,0,,,,,
,,Middle Tennessee State University,1,0,0,0,0,,,,,
,,Vanderbilt University,1,0,0,0,0,,,,,
,,University of Tennessee:,,,,,,,,,,
,,Health Science Center4,1,0,0,0,0,,,,,
,,Knoxville,1,0,0,1,0,,,,,
,Metropolitan Counties,,32,0,7,7,2,,,,,
,,Blount,4,0,0,0,0,,,,,
,,Campbell,0,0,0,1,0,,,,,
,,Cheatham,1,0,0,0,0,,,,,
,,Grainger,0,0,0,1,0,,,,,
,,Hamilton,1,0,4,0,0,,,,,
,,Knox,2,0,0,0,0,,,,,
,,Loudon,0,0,1,0,0,,,,,
,,Montgomery,2,0,0,0,0,,,,,
,,Robertson,3,0,0,0,0,,,,,
,,Rutherford,1,0,0,0,0,,,,,
,,Shelby,10,0,1,3,2,,,,,
,,Sullivan,1,0,0,2,0,,,,,
,,Sumner,1,0,0,0,0,,,,,
,,Tipton,2,0,0,0,0,,,,,
,,Washington,1,0,1,0,0,,,,,
,,Williamson,1,0,0,0,0,,,,,
,,Wilson,2,0,0,0,0,,,,,
,Nonmetropolitan Counties,,20,1,0,5,3,,,,,
,,Bledsoe,0,0,0,2,0,,,,,
,,Carroll,0,0,0,0,2,,,,,
,,Claiborne,1,0,0,0,0,,,,,
,,Giles,2,0,0,0,0,,,,,
,,Haywood,0,0,0,0,1,,,,,
,,Lauderdale,0,1,0,0,0,,,,,
,,Lawrence,1,0,0,0,0,,,,,
,,Moore,1,0,0,0,0,,,,,
,,Rhea,0,0,0,1,0,,,,,
,,Scott,15,0,0,1,0,,,,,
,,Van Buren,0,0,0,1,0,,,,,
,Other Agencies,,0,2,0,3,0,,,,,
,,Department of Safety,0,0,0,1,0,,,,,
,,"Drug Task Force, 23rd Judicial District",0,2,0,2,0,,,,,
Texas,Total,,27,4,14,7,0,,,,,
,Cities,,25,4,13,7,0,,,,,
,,Allen,1,0,0,0,0,,,,,
,,Amarillo,1,0,0,0,0,,,,,
,,Bedford,1,0,0,0,0,,,,,
,,Denison,2,0,0,1,0,,,,,
,,Denton,2,0,0,0,0,,,,,
,,Forney,1,0,0,0,0,,,,,
,,Fort Worth,10,1,3,0,0,,,,,
,,Lancaster,1,0,0,1,0,,,,,
,,Lewisville,0,0,2,2,0,,,,,
,,Longview,2,0,0,0,0,,,,,
,,McKinney,3,0,3,0,0,,,,,
,,Pearland,1,1,0,1,0,,,,,
,,Plano,0,1,1,2,0,,,,,
,,Rowlett,0,0,1,0,0,,,,,
,,San Angelo,0,1,1,0,0,,,,,
,,Temple,0,0,1,0,0,,,,,
,,Tyler,0,0,1,0,0,,,,,
,Universities and Colleges,,0,0,1,0,0,,,,,
,,"Texas A&M University, Commerce",0,0,1,0,0,,,,,
,Metropolitan Counties,,2,0,0,0,0,,,,,
,,Kaufman,1,0,0,0,0,,,,,
,,Lubbock,1,0,0,0,0,,,,,
Utah,Total,,51,26,9,13,3,,,,,
,Cities,,31,19,6,10,0,,,,,
,,Bountiful,5,2,1,0,0,,,,,
,,Brigham City,1,0,0,1,0,,,,,
,,Centerville,2,0,0,0,0,,,,,
,,Clinton,0,0,1,0,0,,,,,
,,Draper,3,5,2,0,0,,,,,
,,Helper,1,0,0,0,0,,,,,
,,Hurricane,1,0,0,1,0,,,,,
,,Kanab,0,1,0,0,0,,,,,
,,Kaysville,1,0,0,0,0,,,,,
,,Logan,1,0,0,0,0,,,,,
,,Murray,3,0,0,0,0,,,,,
,,North Salt Lake,0,1,0,1,0,,,,,
,,Pleasant Grove,0,0,1,0,0,,,,,
,,Price,3,0,0,0,0,,,,,
,,Provo,1,1,0,0,0,,,,,
,,Salt Lake City,1,1,0,0,0,,,,,
,,South Jordan,1,0,0,1,0,,,,,
,,South Salt Lake,0,1,0,1,0,,,,,
,,St. George,0,0,0,1,0,,,,,
,,Syracuse,0,1,0,0,0,,,,,
,,Tooele,2,1,0,0,0,,,,,
,,Tremonton,0,0,1,2,0,,,,,
,,West Bountiful,0,1,0,1,0,,,,,
,,West Jordan,3,1,0,0,0,,,,,
,,West Valley,2,2,0,0,0,,,,,
,,Willard,0,1,0,0,0,,,,,
,,Woods Cross,0,0,0,1,0,,,,,
,Universities and Colleges,,1,0,1,0,0,,,,,
,,Utah State University,1,0,1,0,0,,,,,
,Metropolitan Counties,,6,7,1,0,0,,,,,
,,Davis,1,0,0,0,0,,,,,
,,Salt Lake County Unified Police Department,4,6,1,0,0,,,,,
,,Tooele,0,1,0,0,0,,,,,
,,Washington,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,0,0,1,0,1,,,,,
,,Daggett,0,0,0,0,1,,,,,
,,Summit,0,0,1,0,0,,,,,
,State Police Agencies,,10,0,0,2,2,,,,,
,,Utah Highway Patrol,10,0,0,2,2,,,,,
,Other Agencies,,3,0,0,1,0,,,,,
,,Utah Transit Authority,3,0,0,1,0,,,,,
Vermont,Total,,6,2,4,0,0,,,,,
,Cities,,6,2,4,0,0,,,,,
,,Burlington,4,1,0,0,0,,,,,
,,Dover,0,0,1,0,0,,,,,
,,Fair Haven,0,0,2,0,0,,,,,
,,Morristown,0,0,1,0,0,,,,,
,,South Burlington,2,0,0,0,0,,,,,
,,Winooski,0,1,0,0,0,,,,,
Virginia,Total,,79,24,26,5,0,,,,,
,Cities,,32,4,13,2,0,,,,,
,,Blacksburg,1,0,0,0,0,,,,,
,,Blackstone,2,0,0,0,0,,,,,
,,Chesapeake,8,1,1,0,0,,,,,
,,Christiansburg,1,0,0,0,0,,,,,
,,Colonial Heights,1,0,0,0,0,,,,,
,,Emporia,1,0,0,0,0,,,,,
,,Front Royal,3,0,0,0,0,,,,,
,,Galax,1,0,0,0,0,,,,,
,,Harrisonburg,1,2,0,0,0,,,,,
,,Herndon,1,0,0,0,0,,,,,
,,Lynchburg,1,0,1,0,0,,,,,
,,Manassas,0,0,3,1,0,,,,,
,,Newport News,1,1,0,0,0,,,,,
,,Norfolk,2,0,0,0,0,,,,,
,,Portsmouth,1,0,0,0,0,,,,,
